"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALARIO TOTAL","Promedio"
"Adjuntas","1","Total Municipio Primer Trimestre 2020","11","215","  1,620 ","  6,905,612 ","  4,263 "
"Adjuntas","1","Agricultura, Bosque, Pesca y Caza        ","11","80","  238 ","  360,141 ","  1,515 "
"Adjuntas","1","Mineria                                  ","21","0","0","0","0"
"Adjuntas","1","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Adjuntas","1","Construcción                             ","23","11","  16 ","  86,383 ","  5,289 "
"Adjuntas","1","Manufactura                              ","31-33","11","  167 ","  437,324 ","  2,624 "
"Adjuntas","1","Alimentos                                ","311","7","  38 ","  84,995 ","  2,257 "
"Adjuntas","1","Productos de Tabaco y Bebidas            ","312","1","*","*","*"
"Adjuntas","1","Textiles                                 ","313","0","0","0","0"
"Adjuntas","1","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Adjuntas","1","Ropa                                     ","315","1","*","*","*"
"Adjuntas","1","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Adjuntas","1","Productos de Madera                      ","321","0","0","0","0"
"Adjuntas","1","Papel                                    ","322","0","0","0","0"
"Adjuntas","1","Imprenta e Industrias Relacionadas       ","323","0","0","0","0"
"Adjuntas","1","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Adjuntas","1","Productos Químicos                       ","325","0","0","0","0"
"Adjuntas","1","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Adjuntas","1","Productos Minerales no Metálicos         ","327","0","0","0","0"
"Adjuntas","1","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Adjuntas","1","Productos de Metal                       ","332","2","*","*","*"
"Adjuntas","1","Maquinaria                               ","333","0","0","0","0"
"Adjuntas","1","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Adjuntas","1","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Adjuntas","1","Equipo de Transportación                 ","336","0","0","0","0"
"Adjuntas","1","Muebles y Productos Relacionados         ","337","0","0","0","0"
"Adjuntas","1","Industrias Manufactureras Misceláneas    ","339","0","0","0","0"
"Adjuntas","1","Comercio al por Mayor                    ","42","3","  12 ","  42,060 ","  3,505 "
"Adjuntas","1","Comercio al Detal                        ","44-45","35","  221 ","  762,980 ","  3,452 "
"Adjuntas","1","Transportación y Almacenamiento           ","48-49","6","  20 ","  119,777 ","  5,989 "
"Adjuntas","1","Información                              ","51","0","0","0","0"
"Adjuntas","1","Finanzas y Seguros                       ","52","2","*","*","*"
"Adjuntas","1","Bienes Raíces, Renta o Arrendamiento     ","53","2","*","*","*"
"Adjuntas","1","Servicios Profesionales y Técnicos       ","54","9","  18 ","  140,488 ","  7,805 "
"Adjuntas","1","Gerencia de Compañías y Empresas         ","55","0","0","0","0"
"Adjuntas","1","Servicios Adm. y Desperdicios Sólidos    ","56","1","*","*","*"
"Adjuntas","1","Servicios Educativos                     ","61","2","  256 ","  1,630,897 ","  6,379 "
"Adjuntas","1","Servicios de Salud y Asistencia Social   ","62","26","  217 ","  1,067,570 ","  4,920 "
"Adjuntas","1","Arte, Entretenimiento y Recreación       ","71","0","0","0","0"
"Adjuntas","1","Alojamiento y Servicios de Alimentos     ","72","13","  74 ","  165,325 ","  2,234 "
"Adjuntas","1","Otros Servicios Excepto Adm. Pública     ","81","3","  5 ","  16,092 ","  3,218 "
"Adjuntas","1","Administracion Pública                   ","92","10","  275 ","  1,071,039 ","  3,899 "
"Adjuntas","1","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Aguada","3","Total Municipio Primer Trimestre 2020","11","529","  4,241 ","  19,319,947 ","  4,556 "
"Aguada","3","Agricultura, Bosque, Pesca y Caza        ","11","13","  46 ","  78,044 ","  1,697 "
"Aguada","3","Mineria                                  ","21","3","  20 ","  47,726 ","  2,386 "
"Aguada","3","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Aguada","3","Construcción                             ","23","39","  355 ","  1,330,966 ","  3,746 "
"Aguada","3","Manufactura                              ","31-33","31","  178 ","  556,928 ","  3,135 "
"Aguada","3","Alimentos                                ","311","16","  104 ","  316,293 ","  3,041 "
"Aguada","3","Productos de Tabaco y Bebidas            ","312","1","*","*","*"
"Aguada","3","Textiles                                 ","313","0","0","0","0"
"Aguada","3","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Aguada","3","Ropa                                     ","315","2","*","*","*"
"Aguada","3","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Aguada","3","Productos de Madera                      ","321","0","0","0","0"
"Aguada","3","Papel                                    ","322","0","0","0","0"
"Aguada","3","Imprenta e Industrias Relacionadas       ","323","2","*","*","*"
"Aguada","3","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Aguada","3","Productos Químicos                       ","325","0","0","0","0"
"Aguada","3","Productos de Goma y Plásticos            ","326","1","*","*","*"
"Aguada","3","Productos Minerales no Metálicos         ","327","2","*","*","*"
"Aguada","3","Industrias de Materiales Primarios       ","331","1","*","*","*"
"Aguada","3","Productos de Metal                       ","332","2","*","*","*"
"Aguada","3","Maquinaria                               ","333","0","0","0","0"
"Aguada","3","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Aguada","3","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Aguada","3","Equipo de Transportación                 ","336","0","0","0","0"
"Aguada","3","Muebles y Productos Relacionados         ","337","3","  4 ","  7,760 ","  1,791 "
"Aguada","3","Industrias Manufactureras Misceláneas    ","339","1","*","*","*"
"Aguada","3","Comercio al por Mayor                    ","42","13","  48 ","  201,275 ","  4,193 "
"Aguada","3","Comercio al Detal                        ","44-45","151","  1,028 ","  3,687,199 ","  3,588 "
"Aguada","3","Transportación y Almacenamiento           ","48-49","10","  44 ","  284,364 ","  6,512 "
"Aguada","3","Información                              ","51","2","*","*","*"
"Aguada","3","Finanzas y Seguros                       ","52","12","  106 ","  735,212 ","  6,914 "
"Aguada","3","Bienes Raíces, Renta o Arrendamiento     ","53","6","  23 ","  92,380 ","  4,017 "
"Aguada","3","Servicios Profesionales y Técnicos       ","54","33","  112 ","  922,674 ","  8,263 "
"Aguada","3","Gerencia de Compañías y Empresas         ","55","0","0","0","0"
"Aguada","3","Servicios Adm. y Desperdicios Sólidos    ","56","12","  131 ","  341,031 ","  2,597 "
"Aguada","3","Servicios Educativos                     ","61","10","  714 ","  4,344,763 ","  6,085 "
"Aguada","3","Servicios de Salud y Asistencia Social   ","62","81","  342 ","  1,434,160 ","  4,189 "
"Aguada","3","Arte, Entretenimiento y Recreación       ","71","3","  10 ","  23,334 ","  2,414 "
"Aguada","3","Alojamiento y Servicios de Alimentos     ","72","63","  418 ","  984,562 ","  2,354 "
"Aguada","3","Otros Servicios Excepto Adm. Pública     ","81","32","  80 ","  298,578 ","  3,732 "
"Aguada","3","Administracion Pública                   ","92","14","  578 ","  3,882,700 ","  6,721 "
"Aguada","3","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Aguadilla","5","Total Municipio Primer Trimestre 2020","11","895","  18,589 ","  143,488,047 ","  7,719 "
"Aguadilla","5","Agricultura, Bosque, Pesca y Caza        ","11","16","  72 ","  162,417 ","  2,266 "
"Aguadilla","5","Mineria                                  ","21","1","*","*","*"
"Aguadilla","5","Electricidad, Agua y Gas                 ","22","2","*","*","*"
"Aguadilla","5","Construcción                             ","23","25","  296 ","  1,719,120 ","  5,814 "
"Aguadilla","5","Manufactura                              ","31-33","44","  1,220 ","  12,756,135 ","  10,456 "
"Aguadilla","5","Alimentos                                ","311","21","  369 ","  1,973,125 ","  5,352 "
"Aguadilla","5","Productos de Tabaco y Bebidas            ","312","1","*","*","*"
"Aguadilla","5","Textiles                                 ","313","0","0","0","0"
"Aguadilla","5","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Aguadilla","5","Ropa                                     ","315","0","0","0","0"
"Aguadilla","5","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Aguadilla","5","Productos de Madera                      ","321","1","*","*","*"
"Aguadilla","5","Papel                                    ","322","0","0","0","0"
"Aguadilla","5","Imprenta e Industrias Relacionadas       ","323","0","0","0","0"
"Aguadilla","5","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Aguadilla","5","Productos Químicos                       ","325","0","0","0","0"
"Aguadilla","5","Productos de Goma y Plásticos            ","326","1","*","*","*"
"Aguadilla","5","Productos Minerales no Metálicos         ","327","2","*","*","*"
"Aguadilla","5","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Aguadilla","5","Productos de Metal                       ","332","2","*","*","*"
"Aguadilla","5","Maquinaria                               ","333","2","*","*","*"
"Aguadilla","5","Computadora y Productos Electrónicos    ","334","2","*","*","*"
"Aguadilla","5","Equipo y Aparatos Eléctricos             ","335","2","*","*","*"
"Aguadilla","5","Equipo de Transportación                 ","336","0","0","0","0"
"Aguadilla","5","Muebles y Productos Relacionados         ","337","4","  11 ","  35,311 ","  3,210 "
"Aguadilla","5","Industrias Manufactureras Misceláneas    ","339","6","  48 ","  533,818 ","  11,045 "
"Aguadilla","5","Comercio al por Mayor                    ","42","22","  449 ","  5,650,346 ","  12,575 "
"Aguadilla","5","Comercio al Detal                        ","44-45","200","  2,722 ","  10,308,602 ","  3,787 "
"Aguadilla","5","Transportación y Almacenamiento           ","48-49","32","  626 ","  5,450,356 ","  8,702 "
"Aguadilla","5","Información                              ","51","9","  295 ","  2,123,924 ","  7,192 "
"Aguadilla","5","Finanzas y Seguros                       ","52","28","  252 ","  2,323,152 ","  9,207 "
"Aguadilla","5","Bienes Raíces, Renta o Arrendamiento     ","53","39","  286 ","  1,192,618 ","  4,175 "
"Aguadilla","5","Servicios Profesionales y Técnicos       ","54","76","  2,476 ","  35,319,310 ","  14,265 "
"Aguadilla","5","Gerencia de Compañías y Empresas         ","55","0","0","0","0"
"Aguadilla","5","Servicios Adm. y Desperdicios Sólidos    ","56","24","*","*","*"
"Aguadilla","5","Servicios Educativos                     ","61","23","  1,946 ","  12,986,065 ","  6,674 "
"Aguadilla","5","Servicios de Salud y Asistencia Social   ","62","163","  1,531 ","  9,070,383 ","  5,923 "
"Aguadilla","5","Arte, Entretenimiento y Recreación       ","71","10","  142 ","  422,003 ","  2,972 "
"Aguadilla","5","Alojamiento y Servicios de Alimentos     ","72","104","  1,449 ","  4,030,267 ","  2,782 "
"Aguadilla","5","Otros Servicios Excepto Adm. Pública     ","81","46","  157 ","  545,979 ","  3,470 "
"Aguadilla","5","Administracion Pública                   ","92","31","  3,430 ","  33,260,807 ","  9,696 "
"Aguadilla","5","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Aguas Buenas","7","Total Municipio Primer Trimestre 2020","11","147","  1,684 ","  8,323,648 ","  4,943 "
"Aguas Buenas","7","Agricultura, Bosque, Pesca y Caza        ","11","4","  25 ","  65,639 ","  2,626 "
"Aguas Buenas","7","Mineria                                  ","21","0","0","0","0"
"Aguas Buenas","7","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Aguas Buenas","7","Construcción                             ","23","13","  130 ","  719,533 ","  5,535 "
"Aguas Buenas","7","Manufactura                              ","31-33","9","  96 ","  400,134 ","  4,183 "
"Aguas Buenas","7","Alimentos                                ","311","5","  42 ","  164,489 ","  3,886 "
"Aguas Buenas","7","Productos de Tabaco y Bebidas            ","312","0","0","0","0"
"Aguas Buenas","7","Textiles                                 ","313","0","0","0","0"
"Aguas Buenas","7","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Aguas Buenas","7","Ropa                                     ","315","1","*","*","*"
"Aguas Buenas","7","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Aguas Buenas","7","Productos de Madera                      ","321","0","0","0","0"
"Aguas Buenas","7","Papel                                    ","322","0","0","0","0"
"Aguas Buenas","7","Imprenta e Industrias Relacionadas       ","323","1","*","*","*"
"Aguas Buenas","7","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Aguas Buenas","7","Productos Químicos                       ","325","0","0","0","0"
"Aguas Buenas","7","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Aguas Buenas","7","Productos Minerales no Metálicos         ","327","1","*","*","*"
"Aguas Buenas","7","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Aguas Buenas","7","Productos de Metal                       ","332","1","*","*","*"
"Aguas Buenas","7","Maquinaria                               ","333","0","0","0","0"
"Aguas Buenas","7","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Aguas Buenas","7","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Aguas Buenas","7","Equipo de Transportación                 ","336","0","0","0","0"
"Aguas Buenas","7","Muebles y Productos Relacionados         ","337","0","0","0","0"
"Aguas Buenas","7","Industrias Manufactureras Misceláneas    ","339","0","0","0","0"
"Aguas Buenas","7","Comercio al por Mayor                    ","42","8","  28 ","  173,062 ","  6,181 "
"Aguas Buenas","7","Comercio al Detal                        ","44-45","32","  341 ","  1,534,068 ","  4,503 "
"Aguas Buenas","7","Transportación y Almacenamiento           ","48-49","6","  29 ","  156,038 ","  5,319 "
"Aguas Buenas","7","Información                              ","51","1","*","*","*"
"Aguas Buenas","7","Finanzas y Seguros                       ","52","3","  52 ","  432,159 ","  8,258 "
"Aguas Buenas","7","Bienes Raíces, Renta o Arrendamiento     ","53","5","  17 ","  44,639 ","  2,626 "
"Aguas Buenas","7","Servicios Profesionales y Técnicos       ","54","7","  19 ","  126,061 ","  6,635 "
"Aguas Buenas","7","Gerencia de Compañías y Empresas         ","55","0","0","0","0"
"Aguas Buenas","7","Servicios Adm. y Desperdicios Sólidos    ","56","2","*","*","*"
"Aguas Buenas","7","Servicios Educativos                     ","61","3","  325 ","  2,084,386 ","  6,420 "
"Aguas Buenas","7","Servicios de Salud y Asistencia Social   ","62","25","  98 ","  530,188 ","  5,429 "
"Aguas Buenas","7","Arte, Entretenimiento y Recreación       ","71","2","*","*","*"
"Aguas Buenas","7","Alojamiento y Servicios de Alimentos     ","72","10","  86 ","  258,567 ","  2,995 "
"Aguas Buenas","7","Otros Servicios Excepto Adm. Pública     ","81","6","  14 ","  36,756 ","  2,689 "
"Aguas Buenas","7","Administracion Pública                   ","92","10","  386 ","  1,546,746 ","  4,004 "
"Aguas Buenas","7","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Aibonito","9","Total Municipio Primer Trimestre 2020","11","319","  5,757 ","  37,048,412 ","  6,435 "
"Aibonito","9","Agricultura, Bosque, Pesca y Caza        ","11","29","  163 ","  548,855 ","  3,360 "
"Aibonito","9","Mineria                                  ","21","0","0","0","0"
"Aibonito","9","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Aibonito","9","Construcción                             ","23","9","  41 ","  161,378 ","  3,936 "
"Aibonito","9","Manufactura                              ","31-33","22","  1,369 ","  11,608,505 ","  8,480 "
"Aibonito","9","Alimentos                                ","311","11","*","*","*"
"Aibonito","9","Productos de Tabaco y Bebidas            ","312","2","*","*","*"
"Aibonito","9","Textiles                                 ","313","0","0","0","0"
"Aibonito","9","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Aibonito","9","Ropa                                     ","315","1","*","*","*"
"Aibonito","9","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Aibonito","9","Productos de Madera                      ","321","0","0","0","0"
"Aibonito","9","Papel                                    ","322","0","0","0","0"
