"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALARIO TOTAL","Promedio","","","","","","","","","",""
"Adjuntas","1","Total Municipio Segundo Trimestre 2020","","215","  1,497 ","  6,685,942 ","  4,466 ","","","","","","","","","",""
"Adjuntas","1","Agricultura, Bosque, Pesca y Caza        ","11","84","  202 ","  330,325 ","  1,638 ","","","","","","","","","",""
"Adjuntas","1","Mineria                                  ","21","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Electricidad, Agua y Gas                 ","22","1","*","*","*","","","","","","","","","",""
"Adjuntas","1","Construcción                             ","23","7","  11 ","  59,444 ","  5,573 ","","","","","","","","","",""
"Adjuntas","1","Manufactura                              ","31-33","10","  173 ","  390,429 ","  2,261 ","","","","","","","","","",""
"Adjuntas","1","Alimentos                                ","311","6","  37 ","  74,326 ","  2,027 ","","","","","","","","","",""
"Adjuntas","1","Productos de Tabaco y Bebidas            ","312","1","*","*","*","","","","","","","","","",""
"Adjuntas","1","Textiles                                 ","313","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Productos Textiles Excepto Ropa          ","314","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Ropa                                     ","315","1","*","*","*","","","","","","","","","",""
"Adjuntas","1","Cuero y Productos Relacionados           ","316","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Productos de Madera                      ","321","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Papel                                    ","322","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Imprenta e Industrias Relacionadas       ","323","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Productos de Petróleo y Carbón           ","324","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Productos Químicos                       ","325","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Productos de Goma y Plásticos            ","326","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Productos Minerales no Metálicos         ","327","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Industrias de Materiales Primarios       ","331","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Productos de Metal                       ","332","2","*","*","*","","","","","","","","","",""
"Adjuntas","1","Maquinaria                               ","333","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Computadora y Productos Electrónicos    ","334","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Equipo y Aparatos Eléctricos             ","335","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Equipo de Transportación                 ","336","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Muebles y Productos Relacionados         ","337","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Industrias Manufactureras Misceláneas    ","339","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Comercio al por Mayor                    ","42","2","*","*","*","","","","","","","","","",""
"Adjuntas","1","Comercio al Detal                        ","44-45","37","  210 ","  682,382 ","  3,244 ","","","","","","","","","",""
"Adjuntas","1","Transportación y Almacenamiento           ","48-49","6","  11 ","  155,254 ","  14,114 ","","","","","","","","","",""
"Adjuntas","1","Información                              ","51","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Finanzas y Seguros                       ","52","2","*","*","*","","","","","","","","","",""
"Adjuntas","1","Bienes Raíces, Renta o Arrendamiento     ","53","1","*","*","*","","","","","","","","","",""
"Adjuntas","1","Servicios Profesionales y Técnicos       ","54","9","  13 ","  81,310 ","  6,098 ","","","","","","","","","",""
"Adjuntas","1","Gerencia de Compañías y Empresas         ","55","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Servicios Adm. y Desperdicios Sólidos    ","56","2","*","*","*","","","","","","","","","",""
"Adjuntas","1","Servicios Educativos                     ","61","2","  242 ","  1,578,523 ","  6,523 ","","","","","","","","","",""
"Adjuntas","1","Servicios de Salud y Asistencia Social   ","62","26","  197 ","  1,022,220 ","  5,198 ","","","","","","","","","",""
"Adjuntas","1","Arte, Entretenimiento y Recreación       ","71","0","0","0","0","","","","","","","","","",""
"Adjuntas","1","Alojamiento y Servicios de Alimentos     ","72","13","  47 ","  89,985 ","  1,901 ","","","","","","","","","",""
"Adjuntas","1","Otros Servicios Excepto Adm. Pública     ","81","3","  3 ","  14,076 ","  4,223 ","","","","","","","","","",""
"Adjuntas","1","Administracion Pública                   ","92","10","  278 ","  1,231,255 ","  4,434 ","","","","","","","","","",""
"Adjuntas","1","Otros (Establecimientos no Clasificados) ","99","0","0","0","0","","","","","","","","","",""
"Aguada","3","Total Municipio Segundo Trimestre 2020","","525","  3,596 ","  17,799,820 ","  4,950 ","","","","","","","","","",""
