"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALRIO Total Municipio Segundo Trimestre 2019","Promedio"
"Adjuntas","1","Total Municipio Cuarto Trimestre 2020 ","","214","1707","8584800","5030"
"Adjuntas","1","Agricultura, Bosque, Pesca y Caza        ","11","80","237","381767","1611"
"Adjuntas","1","Mineria                                  ","21","0","0","0","0"
"Adjuntas","1","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Adjuntas","1","Construcción                             ","23","7","18","93237","5086"
"Adjuntas","1","Manufactura                              ","31-33","12","208","667640","3215"
"Adjuntas","1","Alimentos                                ","311","7","38","79095","2100"
"Adjuntas","1","Productos de Tabaco y Bebidas            ","312","1","*","*","*"
"Adjuntas","1","Textiles                                 ","313","0","0","0","0"
"Adjuntas","1","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Adjuntas","1","Ropa                                     ","315","1","*","*","*"
"Adjuntas","1","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Adjuntas","1","Productos de Madera                      ","321","0","0","0","0"
"Adjuntas","1","Papel                                    ","322","0","0","0","0"
"Adjuntas","1","Imprenta e Industrias Relacionadas       ","323","0","0","0","0"
"Adjuntas","1","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Adjuntas","1","Productos Químicos                       ","325","0","0","0","0"
"Adjuntas","1","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Adjuntas","1","Productos Minerales no Metálicos         ","327","0","0","0","0"
"Adjuntas","1","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Adjuntas","1","Productos de Metal                       ","332","3","12","29731","2478"
"Adjuntas","1","Maquinaria                               ","333","0","0","0","0"
"Adjuntas","1","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Adjuntas","1","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Adjuntas","1","Equipo de Transportación                 ","336","0","0","0","0"
"Adjuntas","1","Muebles y Productos Relacionados         ","337","0","0","0","0"
"Adjuntas","1","Industrias Manufactureras Misceláneas    ","339","0","0","0","0"
