"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALARIO Total Municipio Segundo Trimestre 2022","Promedio"
"Adjuntas","1","Total Municipio Segundo Trimestre 2022 ","","229","1814","8627463","4756"
"Adjuntas","1","Agricultura, Bosque, Pesca y Caza","11","71","232","499464","2153"
"Adjuntas","1","Mineria","21","1","*","*","*"
"Adjuntas","1","Electricidad, Agua y Gas ","22","1","*","*","*"
"Adjuntas","1","Construcción ","23","8","43","160937","3714"
"Adjuntas","1","Manufactura","31-33","13","179","610843","3419"
"Adjuntas","1","Alimentos","311","8","49","119526","2456"
"Adjuntas","1","Productos de Tabaco y Bebidas","312","1","*","*","*"
"Adjuntas","1","Textiles ","313","0","0","0","0"
"Adjuntas","1","Productos Textiles Excepto Ropa","314","0","0","0","0"
"Adjuntas","1","Ropa ","315","1","*","*","*"
"Adjuntas","1","Cuero y Productos Relacionados ","316","0","0","0","0"
"Adjuntas","1","Productos de Madera","321","0","0","0","0"
"Adjuntas","1","Papel","322","0","0","0","0"
"Adjuntas","1","Imprenta e Industrias Relacionadas ","323","0","0","0","0"
"Adjuntas","1","Productos de Petróleo y Carbón ","324","0","0","0","0"
"Adjuntas","1","Productos Químicos ","325","0","0","0","0"
"Adjuntas","1","Productos de Goma y Plásticos","326","0","0","0","0"
"Adjuntas","1","Productos Minerales no Metálicos ","327","0","0","0","0"
"Adjuntas","1","Industrias de Materiales Primarios ","331","0","0","0","0"
"Adjuntas","1","Productos de Metal ","332","3","17","45861","2698"
"Adjuntas","1","Maquinaria ","333","0","0","0","0"
"Adjuntas","1","Computadora y Productos Electrónicos","334","0","0","0","0"
"Adjuntas","1","Equipo y Aparatos Eléctricos ","335","0","0","0","0"
"Adjuntas","1","Equipo de Transportación ","336","0","0","0","0"
"Adjuntas","1","Muebles y Productos Relacionados ","337","0","0","0","0"
"Adjuntas","1","Industrias Manufactureras Misceláneas","339","0","0","0","0"
"Adjuntas","1","Comercio al por Mayor","42","3","14","69967","5120"
"Adjuntas","1","Comercio al Detal","44-45","45","239","1008014","4218"
"Adjuntas","1","Transportación y Almacenamiento ","48-49","6","18","47350","2631"
"Adjuntas","1","Información","51","1","*","*","*"
"Adjuntas","1","Finanzas y Seguros ","52","2","*","*","*"
"Adjuntas","1","Bienes Raíces, Renta o Arrendamiento ","53","2","*","*","*"
"Adjuntas","1","Servicios Profesionales y Técnicos ","54","7","25","167235","6601"
"Adjuntas","1","Gerencia de Companías y Empresas ","55","0","0","0","0"
"Adjuntas","1","Servicios Adm. y Desperdicios Sólidos","56","3","*","*","*"
"Adjuntas","1","Servicios Educativos ","61","2","250 ","1716833 ","6867 "
"Adjuntas","1","Servicios de Salud y Asistencia Social ","62","26","206 ","1329661","6444"
"Adjuntas","1","Arte, Entretenimiento y Recreación ","71","0","0","0","0"
"Adjuntas","1","Alojamiento y Servicios de Alimentos ","72","22","117","333081","2839"
"Adjuntas","1","Otros Servicios Excepto Adm. Pública ","81","7","12","43412","3520"
"Adjuntas","1","Administración Pública ","92","9","333 ","1464266 ","4397 "
"Adjuntas","1","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Aguada","3","Total Municipio Segundo Trimestre 2022 ","","568","4733","25789077","5449"
"Aguada","3","Agricultura, Bosque, Pesca y Caza","11","16","29","92665","3233"
"Aguada","3","Mineria","21","2","*","*","*"
"Aguada","3","Electricidad, Agua y Gas ","22","1","*","*","*"
"Aguada","3","Construcción ","23","42","355","1757109","4954"
"Aguada","3","Manufactura","31-33","31","218","860911","3955"
"Aguada","3","Alimentos","311","15","124","436276","3509"
"Aguada","3","Productos de Tabaco y Bebidas","312","1","*","*","*"
"Aguada","3","Textiles ","313","0","0","0","0"
"Aguada","3","Productos Textiles Excepto Ropa","314","0","0","0","0"
"Aguada","3","Ropa ","315","1","*","*","*"
"Aguada","3","Cuero y Productos Relacionados ","316","0","0","0","0"
"Aguada","3","Productos de Madera","321","0","0","0","0"
"Aguada","3","Papel","322","0","0","0","0"
"Aguada","3","Imprenta e Industrias Relacionadas ","323","2","*","*","*"
"Aguada","3","Productos de Petróleo y Carbón ","324","0","0","0","0"
"Aguada","3","Productos Químicos ","325","0","0","0","0"
"Aguada","3","Productos de Goma y Plásticos","326","0","0","0","0"
"Aguada","3","Productos Minerales no Metálicos ","327","3","34","165954","4929"
"Aguada","3","Industrias de Materiales Primarios ","331","1","*","*","*"
"Aguada","3","Productos de Metal ","332","4","24","92979","3874"
"Aguada","3","Maquinaria ","333","0","0","0","0"
"Aguada","3","Computadora y Productos Electrónicos","334","0","0","0","0"
"Aguada","3","Equipo y Aparatos Eléctricos ","335","0","0","0","0"
"Aguada","3","Equipo de Transportación ","336","0","0","0","0"
"Aguada","3","Muebles y Productos Relacionados ","337","3","6","22028","3671"
"Aguada","3","Industrias Manufactureras Misceláneas","339","1","*","*","*"
"Aguada","3","Comercio al por Mayor","42","12","45","220719","4869"
"Aguada","3","Comercio al Detal","44-45","156","1117","5081169","4549"
"Aguada","3","Transportación y Almacenamiento ","48-49","8","31","121852","3889"
"Aguada","3","Información","51","3","3","12628","4209"
"Aguada","3","Finanzas y Seguros ","52","13","50","361006","7172"
"Aguada","3","Bienes Raíces, Renta o Arrendamiento ","53","10","53","216117","4078"
"Aguada","3","Servicios Profesionales y Técnicos ","54","38","129","1068541","8262"
"Aguada","3","Gerencia de Companías y Empresas ","55","0","0","0","0"
"Aguada","3","Servicios Adm. y Desperdicios Sólidos","56","18","278","1253723","4510"
"Aguada","3","Servicios Educativos ","61","9","650 ","4569416 ","7030 "
"Aguada","3","Servicios de Salud y Asistencia Social ","62","85","428","2346843","5488"
"Aguada","3","Arte, Entretenimiento y Recreación ","71","3","*","*","*"
"Aguada","3","Alojamiento y Servicios de Alimentos ","72","72","604","1826680","3026"
"Aguada","3","Otros Servicios Excepto Adm. Pública ","81","37","111","554300","4994"
"Aguada","3","Administración Pública ","92","12","556 ","4971989 ","8937 "
"Aguada","3","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Aguadilla","5","Total Municipio Segundo Trimestre 2022 ","","950","19057","171092207","8978"
"Aguadilla","5","Agricultura, Bosque, Pesca y Caza","11","15","57","159102","2791"
"Aguadilla","5","Mineria","21","1","*","*","*"
"Aguadilla","5","Electricidad, Agua y Gas ","22","2","*","*","*"
