"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALARIO TOTAL","Promedio","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Total Municipio Tercer Trimestre 2020","","222","1598","6828278","4273","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Agricultura, Bosque, Pesca y Caza        ","11","87","223","353554","1583","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Mineria                                  ","21","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Electricidad, Agua y Gas                 ","22","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Construcción                             ","23","7","15","59627","3975","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Manufactura                              ","31-33","12","193","533761","2766","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Alimentos                                ","311","8","42","79804","1900","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Productos de Tabaco y Bebidas            ","312","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Textiles                                 ","313","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Productos Textiles Excepto Ropa          ","314","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Ropa                                     ","315","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Cuero y Productos Relacionados           ","316","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Productos de Madera                      ","321","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Papel                                    ","322","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Imprenta e Industrias Relacionadas       ","323","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Productos de Petróleo y Carbón           ","324","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Productos Químicos                       ","325","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Productos de Goma y Plásticos            ","326","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Productos Minerales no Metálicos         ","327","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Industrias de Materiales Primarios       ","331","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Productos de Metal                       ","332","2","*","*","*","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Maquinaria                               ","333","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Computadora y Productos Electrónicos    ","334","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Equipo y Aparatos Eléctricos             ","335","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Equipo de Transportación                 ","336","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Muebles y Productos Relacionados         ","337","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Industrias Manufactureras Misceláneas    ","339","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Comercio al por Mayor                    ","42","3","12","44693","3724","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Comercio al Detal                        ","44-45","38","241","854187","3539","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Transportación y Almacenamiento           ","48-49","6","12","149813","12484","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Información                              ","51","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Finanzas y Seguros                       ","52","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Bienes Raíces, Renta o Arrendamiento     ","53","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Servicios Profesionales y Técnicos       ","54","9","24","154053","6509","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Gerencia de Compañías y Empresas         ","55","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Servicios Adm. y Desperdicios Sólidos    ","56","2","*","*","*","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Servicios Educativos                     ","61","2","  232 ","  1,516,006 ","  6,544 ","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Servicios de Salud y Asistencia Social   ","62","25","210","1064878","5079","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Arte, Entretenimiento y Recreación       ","71","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Alojamiento y Servicios de Alimentos     ","72","14","58","150998","2589","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Otros Servicios Excepto Adm. Pública     ","81","3","5","17132","3426","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Administracion Pública                   ","92","10","  289 ","  1,169,928 ","  4,048 ","","","","","","","","","","","","","","","","","","",""
"Adjuntas","1","Otros (Establecimientos no Clasificados) ","99","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Total Municipio Tercer Trimestre 2020","","530","4034","19321608","4790","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Agricultura, Bosque, Pesca y Caza        ","11","14","38","70102","1845","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Mineria                                  ","21","2","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Electricidad, Agua y Gas                 ","22","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Construcción                             ","23","36","280","1192707","4265","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Manufactura                              ","31-33","32","175","554970","3171","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Alimentos                                ","311","18","102","317892","3106","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Productos de Tabaco y Bebidas            ","312","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Textiles                                 ","313","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Productos Textiles Excepto Ropa          ","314","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Ropa                                     ","315","2","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Cuero y Productos Relacionados           ","316","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Productos de Madera                      ","321","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Papel                                    ","322","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Imprenta e Industrias Relacionadas       ","323","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Productos de Petróleo y Carbón           ","324","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Productos Químicos                       ","325","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Productos de Goma y Plásticos            ","326","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Productos Minerales no Metálicos         ","327","2","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Industrias de Materiales Primarios       ","331","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Productos de Metal                       ","332","3","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Maquinaria                               ","333","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Computadora y Productos Electrónicos    ","334","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Equipo y Aparatos Eléctricos             ","335","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Equipo de Transportación                 ","336","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Muebles y Productos Relacionados         ","337","3","3","6313","2104","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Industrias Manufactureras Misceláneas    ","339","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Comercio al por Mayor                    ","42","13","39","157257","3998","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Comercio al Detal                        ","44-45","151","976","3718289","3808","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Transportación y Almacenamiento           ","48-49","8","27","291592","10668","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Información                              ","51","2","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Finanzas y Seguros                       ","52","11","100","618120","6181","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Bienes Raíces, Renta o Arrendamiento     ","53","8","38","112369","2931","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Servicios Profesionales y Técnicos       ","54","32","104","900399","8630","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Gerencia de Compañías y Empresas         ","55","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Servicios Adm. y Desperdicios Sólidos    ","56","14","180","516822","2871","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Servicios Educativos                     ","61","11","  638 ","  4,058,298 ","  6,364 ","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Servicios de Salud y Asistencia Social   ","62","81","313","1619254","5179","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Arte, Entretenimiento y Recreación       ","71","3","16","17439","1090","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Alojamiento y Servicios de Alimentos     ","72","62","388","1077243","2774","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Otros Servicios Excepto Adm. Pública     ","81","35","73","302079","4138","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Administracion Pública                   ","92","14","  618 ","  3,998,036 ","  6,469 ","","","","","","","","","","","","","","","","","","",""
"Aguada","3","Otros (Establecimientos no Clasificados) ","99","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Total Municipio Tercer Trimestre 2020","","879","17306","137259918","7932","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Agricultura, Bosque, Pesca y Caza        ","11","16","64","157626","2463","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Mineria                                  ","21","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Electricidad, Agua y Gas                 ","22","2","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Construcción                             ","23","24","325","1939810","5963","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Manufactura                              ","31-33","44","1205","11917175","9890","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Alimentos                                ","311","20","355","2105774","5937","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Productos de Tabaco y Bebidas            ","312","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Textiles                                 ","313","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Productos Textiles Excepto Ropa          ","314","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Ropa                                     ","315","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Cuero y Productos Relacionados           ","316","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Productos de Madera                      ","321","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Papel                                    ","322","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Imprenta e Industrias Relacionadas       ","323","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Productos de Petróleo y Carbón           ","324","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Productos Químicos                       ","325","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Productos de Goma y Plásticos            ","326","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Productos Minerales no Metálicos         ","327","3","25","100966","4093","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Industrias de Materiales Primarios       ","331","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Productos de Metal                       ","332","3","8","20380","2446","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Maquinaria                               ","333","2","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Computadora y Productos Electrónicos    ","334","2","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Equipo y Aparatos Eléctricos             ","335","2","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Equipo de Transportación                 ","336","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Muebles y Productos Relacionados         ","337","4","8","5765","752","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Industrias Manufactureras Misceláneas    ","339","5","52","490147","9426","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Comercio al por Mayor                    ","42","22","428","5668592","13244","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Comercio al Detal                        ","44-45","195","2506","10319174","4118","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Transportación y Almacenamiento           ","48-49","31","532","5236985","9850","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Información                              ","51","9","236","1972174","8345","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Finanzas y Seguros                       ","52","28","293","2465000","8413","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Bienes Raíces, Renta o Arrendamiento     ","53","38","232","961571","4145","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Servicios Profesionales y Técnicos       ","54","76","2377","32061025","13490","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Gerencia de Compañías y Empresas         ","55","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Servicios Adm. y Desperdicios Sólidos    ","56","23","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Servicios Educativos                     ","61","23","  1,555 ","  11,680,937 ","  7,512 ","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Servicios de Salud y Asistencia Social   ","62","156","1485","9417513","6340","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Arte, Entretenimiento y Recreación       ","71","8","97","301716","3110","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Alojamiento y Servicios de Alimentos     ","72","105","1302","3430665","2635","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Otros Servicios Excepto Adm. Pública     ","81","47","149","572086","3840","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Administracion Pública                   ","92","31","  3,449 ","  33,692,133 ","  9,770 ","","","","","","","","","","","","","","","","","","",""
"Aguadilla","5","Otros (Establecimientos no Clasificados) ","99","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Total Municipio Tercer Trimestre 2020","","146","1647","8418425","5111","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Agricultura, Bosque, Pesca y Caza        ","11","3","20","66104","3305","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Mineria                                  ","21","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Electricidad, Agua y Gas                 ","22","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Construcción                             ","23","13","116","681523","5875","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Manufactura                              ","31-33","9","90","393932","4361","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Alimentos                                ","311","4","38","162554","4278","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Productos de Tabaco y Bebidas            ","312","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Textiles                                 ","313","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Productos Textiles Excepto Ropa          ","314","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Ropa                                     ","315","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Cuero y Productos Relacionados           ","316","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Productos de Madera                      ","321","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Papel                                    ","322","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Imprenta e Industrias Relacionadas       ","323","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Productos de Petróleo y Carbón           ","324","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Productos Químicos                       ","325","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Productos de Goma y Plásticos            ","326","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Productos Minerales no Metálicos         ","327","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Industrias de Materiales Primarios       ","331","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Productos de Metal                       ","332","2","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Maquinaria                               ","333","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Computadora y Productos Electrónicos    ","334","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Equipo y Aparatos Eléctricos             ","335","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Equipo de Transportación                 ","336","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Muebles y Productos Relacionados         ","337","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Industrias Manufactureras Misceláneas    ","339","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Comercio al por Mayor                    ","42","8","26","156658","6025","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Comercio al Detal                        ","44-45","30","317","1535290","4838","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Transportación y Almacenamiento           ","48-49","6","10","126621","12662","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Información                              ","51","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Finanzas y Seguros                       ","52","3","50","375932","7519","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Bienes Raíces, Renta o Arrendamiento     ","53","5","17","51097","3066","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Servicios Profesionales y Técnicos       ","54","7","22","154724","7141","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Gerencia de Compañías y Empresas         ","55","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Servicios Adm. y Desperdicios Sólidos    ","56","3","26","107248","4125","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Servicios Educativos                     ","61","3","  306 ","  1,978,066 ","  6,471 ","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Servicios de Salud y Asistencia Social   ","62","23","98","551326","5626","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Arte, Entretenimiento y Recreación       ","71","3","30","131331","4378","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Alojamiento y Servicios de Alimentos     ","72","11","92","283356","3069","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Otros Servicios Excepto Adm. Pública     ","81","7","15","53977","3598","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Administracion Pública                   ","92","10","  403 ","  1,650,549 ","  4,096 ","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Otros (Establecimientos no Clasificados) ","99","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Total Municipio Tercer Trimestre 2020","","319","5689","35899208","6311","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Agricultura, Bosque, Pesca y Caza        ","11","28","158","575291","3633","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Mineria                                  ","21","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Electricidad, Agua y Gas                 ","22","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Construcción                             ","23","10","30","103789","3499","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Manufactura                              ","31-33","24","1423","11106363","7803","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Alimentos                                ","311","13","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Productos de Tabaco y Bebidas            ","312","2","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Textiles                                 ","313","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Productos Textiles Excepto Ropa          ","314","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Ropa                                     ","315","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Cuero y Productos Relacionados           ","316","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Productos de Madera                      ","321","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Papel                                    ","322","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Imprenta e Industrias Relacionadas       ","323","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Productos de Petróleo y Carbón           ","324","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Productos Químicos                       ","325","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Productos de Goma y Plásticos            ","326","0","0","0","0","","","","","","","","","","","","","","","","","","",""
