"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALRIO Total Municipio Primr Trimestre 2022","Promedio"
"Adjuntas","1","Total Municipio Primer Trimestre 2022 ","","226","  1,770 ","  8,170,863 ","  4,616 "
"Adjuntas","1","Agricultura, Bosque, Pesca y Caza        ","11","70","  227 ","  475,068 ","  2,096 "
"Adjuntas","1","Mineria                                  ","21","1","*","*","*"
"Adjuntas","1","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Adjuntas","1","Construcción                             ","23","6","  42 ","  153,147 ","  3,646 "
"Adjuntas","1","Manufactura                              ","31-33","13","  178 ","  559,831 ","  3,151 "
"Adjuntas","1","Alimentos                                ","311","8","  49 ","  118,502 ","  2,402 "
"Adjuntas","1","Productos de Tabaco y Bebidas            ","312","1","*","*","*"
"Adjuntas","1","Textiles                                 ","313","0","0","0","0"
"Adjuntas","1","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Adjuntas","1","Ropa                                     ","315","1","*","*","*"
"Adjuntas","1","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Adjuntas","1","Productos de Madera                      ","321","0","0","0","0"
"Adjuntas","1","Papel                                    ","322","0","0","0","0"
"Adjuntas","1","Imprenta e Industrias Relacionadas       ","323","0","0","0","0"
"Adjuntas","1","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Adjuntas","1","Productos Químicos                       ","325","0","0","0","0"
"Adjuntas","1","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Adjuntas","1","Productos Minerales no Metálicos         ","327","0","0","0","0"
"Adjuntas","1","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Adjuntas","1","Productos de Metal                       ","332","3","  17 ","  44,767 ","  2,583 "
"Adjuntas","1","Maquinaria                               ","333","0","0","0","0"
"Adjuntas","1","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Adjuntas","1","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Adjuntas","1","Equipo de Transportación                 ","336","0","0","0","0"
"Adjuntas","1","Muebles y Productos Relacionados         ","337","0","0","0","0"
"Adjuntas","1","Industrias Manufactureras Misceláneas    ","339","0","0","0","0"
"Adjuntas","1","Comercio al por Mayor                    ","42","3","  14 ","  80,975 ","  5,784 "
"Adjuntas","1","Comercio al Detal                        ","44-45","45","  244 ","  957,670 ","  3,920 "
"Adjuntas","1","Transportación y Almacenamiento           ","48-49","6","  27 ","  169,619 ","  6,361 "
"Adjuntas","1","Información                              ","51","1","*","*","*"
"Adjuntas","1","Finanzas y Seguros                       ","52","2","*","*","*"
"Adjuntas","1","Bienes Raíces, Renta o Arrendamiento     ","53","2","*","*","*"
"Adjuntas","1","Servicios Profesionales y Técnicos       ","54","7","  23 ","  143,863 ","  6,255 "
"Adjuntas","1","Gerencia de Companías y Empresas         ","55","0","0","0","0"
"Adjuntas","1","Servicios Adm. y Desperdicios Sólidos    ","56","2","*","*","*"
"Adjuntas","1","Servicios Educativos                     ","61","2","257","1623286 ","6324 "
"Adjuntas","1","Servicios de Salud y Asistencia Social   ","62","27","  214 ","  1,308,221 ","  6,113 "
"Adjuntas","1","Arte, Entretenimiento y Recreación       ","71","0","0","0","0"
"Adjuntas","1","Alojamiento y Servicios de Alimentos     ","72","21","  116 ","  321,776 ","  2,774 "
"Adjuntas","1","Otros Servicios Excepto Adm. Pública     ","81","5","  10 ","  33,112 ","  3,311 "
"Adjuntas","1","Administración Pública                   ","92","9","287","1301069 ","4539 "
"Adjuntas","1","Otros (Establecimientos no Clasificados) ","99","3","  8 ","  17,491 ","  2,099 "
"Aguada","3","Total Municipio Primer Trimestre 2022 ","","560","  4,723 ","  24,306,723 ","  5,146 "
"Aguada","3","Agricultura, Bosque, Pesca y Caza        ","11","15","  34 ","  106,158 ","  3,122 "
"Aguada","3","Mineria                                  ","21","2","*","*","*"
"Aguada","3","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Aguada","3","Construcción                             ","23","42","  356 ","  1,647,430 ","  4,632 "
"Aguada","3","Manufactura                              ","31-33","31","  223 ","  821,179 ","  3,682 "
"Aguada","3","Alimentos                                ","311","15","  122 ","  420,175 ","  3,453 "
