"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALARIO Total Municipio Tercer Trimestre 2022","Promedio"
"Adjuntas","1","Total Municipio Cuarto Trimestre 2022 ","","237","1871","10602419","5668"
"Adjuntas","1","Agricultura, Bosque, Pesca y Caza        ","11","73","247","542353","2196"
"Adjuntas","1","Mineria                                  ","21","1","*","*","*"
"Adjuntas","1","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Adjuntas","1","Construcción                             ","23","11","57","269266","4752"
"Adjuntas","1","Manufactura                              ","31-33","13","182","657622","3620"
"Adjuntas","1","Alimentos                                ","311","8","48","123207","2585"
"Adjuntas","1","Productos de Tabaco y Bebidas            ","312","1","*","*","*"
"Adjuntas","1","Textiles                                 ","313","0","0","0","0"
"Adjuntas","1","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Adjuntas","1","Ropa                                     ","315","1","*","*","*"
"Adjuntas","1","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Adjuntas","1","Productos de Madera                      ","321","0","0","0","0"
"Adjuntas","1","Papel                                    ","322","0","0","0","0"
"Adjuntas","1","Imprenta e Industrias Relacionadas       ","323","0","0","0","0"
"Adjuntas","1","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Adjuntas","1","Productos Químicos                       ","325","0","0","0","0"
"Adjuntas","1","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Adjuntas","1","Productos Minerales no Metálicos         ","327","0","0","0","0"
"Adjuntas","1","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Adjuntas","1","Productos de Metal                       ","332","3","16","47777","2925"
"Adjuntas","1","Maquinaria                               ","333","0","0","0","0"
"Adjuntas","1","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Adjuntas","1","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Adjuntas","1","Equipo de Transportación                 ","336","0","0","0","0"
"Adjuntas","1","Muebles y Productos Relacionados         ","337","0","0","0","0"
"Adjuntas","1","Industrias Manufactureras Misceláneas    ","339","0","0","0","0"
"Adjuntas","1","Comercio al por Mayor                    ","42","3","12","61635","5136"
"Adjuntas","1","Comercio al Detal                        ","44-45","44","246","1070908","4353"
"Adjuntas","1","Transportación y Almacenamiento           ","48-49","9","19","66683","3510"
"Adjuntas","1","Información                              ","51","1","*","*","*"
"Adjuntas","1","Finanzas y Seguros                       ","52","2","*","*","*"
"Adjuntas","1","Bienes Raíces, Renta o Arrendamiento     ","53","2","*","*","*"
"Adjuntas","1","Servicios Profesionales y Técnicos       ","54","10","24","175994","7436"
"Adjuntas","1","Gerencia de Companías y Empresas         ","55","0","0","0","0"
"Adjuntas","1","Servicios Adm. y Desperdicios Sólidos    ","56","3","*","*","*"
"Adjuntas","1","Servicios Educativos                     ","61","2","272","2353068","8651"
"Adjuntas","1","Servicios de Salud y Asistencia Social   ","62","26","199","1475850","7404"
"Adjuntas","1","Arte, Entretenimiento y Recreación       ","71","0","0","0","0"
"Adjuntas","1","Alojamiento y Servicios de Alimentos     ","72","23","117","350161","2993"
"Adjuntas","1","Otros Servicios Excepto Adm. Pública     ","81","7","12","45071","3863"
"Adjuntas","1","Administración Pública                   ","92","8","342","2221573","6502"
"Adjuntas","1","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Aguada","3","Total Municipio Cuarto Trimestre 2022 ","","596","4926","29690536","6027"
"Aguada","3","Agricultura, Bosque, Pesca y Caza        ","11","17","34","108928","3235"
"Aguada","3","Mineria                                  ","21","2","*","*","*"
"Aguada","3","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Aguada","3","Construcción                             ","23","43","355","1912862","5393"
"Aguada","3","Manufactura                              ","31-33","31","215","928940","4327"
"Aguada","3","Alimentos                                ","311","14","120","453128","3787"
"Aguada","3","Productos de Tabaco y Bebidas            ","312","1","*","*","*"
"Aguada","3","Textiles                                 ","313","0","0","0","0"
"Aguada","3","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Aguada","3","Ropa                                     ","315","1","*","*","*"
"Aguada","3","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Aguada","3","Productos de Madera                      ","321","0","0","0","0"
"Aguada","3","Papel                                    ","322","0","0","0","0"
"Aguada","3","Imprenta e Industrias Relacionadas       ","323","2","*","*","*"
"Aguada","3","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Aguada","3","Productos Químicos                       ","325","0","0","0","0"
"Aguada","3","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Aguada","3","Productos Minerales no Metálicos         ","327","3","34","172640","5078"
"Aguada","3","Industrias de Materiales Primarios       ","331","1","*","*","*"
"Aguada","3","Productos de Metal                       ","332","4","22","102229","4647"
"Aguada","3","Maquinaria                               ","333","0","0","0","0"
"Aguada","3","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Aguada","3","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Aguada","3","Equipo de Transportación                 ","336","0","0","0","0"
"Aguada","3","Muebles y Productos Relacionados         ","337","4","6","27890","4404"
"Aguada","3","Industrias Manufactureras Misceláneas    ","339","1","*","*","*"
"Aguada","3","Comercio al por Mayor                    ","42","14","49","258086","5267"
"Aguada","3","Comercio al Detal                        ","44-45","163","1184","5681374","4798"
"Aguada","3","Transportación y Almacenamiento           ","48-49","9","44","175925","4029"
"Aguada","3","Información                              ","51","4","4","38987","9747"
"Aguada","3","Finanzas y Seguros                       ","52","13","53","479449","9046"
"Aguada","3","Bienes Raíces, Renta o Arrendamiento     ","53","11","60","237836","3964"
"Aguada","3","Servicios Profesionales y Técnicos       ","54","40","144","1343534","9309"
"Aguada","3","Gerencia de Companías y Empresas         ","55","0","0","0","0"
"Aguada","3","Servicios Adm. y Desperdicios Sólidos    ","56","19","302","1428328","4735"
"Aguada","3","Servicios Educativos                     ","61","9","676","5908543","8745"
"Aguada","3","Servicios de Salud y Asistencia Social   ","62","86","433","3077529","7102"
"Aguada","3","Arte, Entretenimiento y Recreación       ","71","3","*","*","*"
"Aguada","3","Alojamiento y Servicios de Alimentos     ","72","82","618","2070776","3349"
"Aguada","3","Otros Servicios Excepto Adm. Pública     ","81","38","110","590158","5381"
"Aguada","3","Administración Pública                   ","92","11","574","4942159","8615"
"Aguada","3","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Aguadilla","5","Total Municipio Cuarto Trimestre 2022 ","","986","19393","195967055","10105"
"Aguadilla","5","Agricultura, Bosque, Pesca y Caza        ","11","16","54","156746","2885"
"Aguadilla","5","Mineria                                  ","21","1","*","*","*"
"Aguadilla","5","Electricidad, Agua y Gas                 ","22","2","*","*","*"
"Aguadilla","5","Construcción                             ","23","31","499","3140148","6289"
"Aguadilla","5","Manufactura                              ","31-33","48","1505","21866386","14526"
"Aguadilla","5","Alimentos                                ","311","19","373","1994314","5347"
"Aguadilla","5","Productos de Tabaco y Bebidas            ","312","1","*","*","*"
"Aguadilla","5","Textiles                                 ","313","0","0","0","0"
"Aguadilla","5","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Aguadilla","5","Ropa                                     ","315","0","0","0","0"
"Aguadilla","5","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Aguadilla","5","Productos de Madera                      ","321","1","*","*","*"
"Aguadilla","5","Papel                                    ","322","0","0","0","0"
"Aguadilla","5","Imprenta e Industrias Relacionadas       ","323","0","0","0","0"
"Aguadilla","5","Productos de Petróleo y Carbón           ","324","1","*","*","*"
"Aguadilla","5","Productos Químicos                       ","325","2","*","*","*"
"Aguadilla","5","Productos de Goma y Plásticos            ","326","1","*","*","*"
"Aguadilla","5","Productos Minerales no Metálicos         ","327","2","*","*","*"
"Aguadilla","5","Industrias de Materiales Primarios       ","331","1","*","*","*"
"Aguadilla","5","Productos de Metal                       ","332","4","17","70703","4159"
"Aguadilla","5","Maquinaria                               ","333","2","*","*","*"
"Aguadilla","5","Computadora y Productos Electrónicos    ","334","2","*","*","*"
"Aguadilla","5","Equipo y Aparatos Eléctricos             ","335","2","*","*","*"
"Aguadilla","5","Equipo de Transportación                 ","336","0","0","0","0"
"Aguadilla","5","Muebles y Productos Relacionados         ","337","4","9","27122","3014"
"Aguadilla","5","Industrias Manufactureras Misceláneas    ","339","6","289","2568289","8897"
"Aguadilla","5","Comercio al por Mayor                    ","42","28","306","3072487","10041"
"Aguadilla","5","Comercio al Detal                        ","44-45","223","2981","15333182","5144"
"Aguadilla","5","Transportación y Almacenamiento           ","48-49","30","713","7783210","10916"
"Aguadilla","5","Información                              ","51","11","306","2879370","9420"
"Aguadilla","5","Finanzas y Seguros                       ","52","25","279","2899180","10391"
"Aguadilla","5","Bienes Raíces, Renta o Arrendamiento     ","53","38","293","1578955","5395"
"Aguadilla","5","Servicios Profesionales y Técnicos       ","54","93","2781","43787032","15743"
"Aguadilla","5","Gerencia de Companías y Empresas         ","55","1","*","*","*"
"Aguadilla","5","Servicios Adm. y Desperdicios Sólidos    ","56","21","200","1370129","6862"
"Aguadilla","5","Servicios Educativos                     ","61","24","1913","16052219","8390"
"Aguadilla","5","Servicios de Salud y Asistencia Social   ","62","176","1531","11216213","7324"
"Aguadilla","5","Arte, Entretenimiento y Recreación       ","71","11","161","631424","3914"
"Aguadilla","5","Alojamiento y Servicios de Alimentos     ","72","127","1785","6622073","3711"
"Aguadilla","5","Otros Servicios Excepto Adm. Pública     ","81","51","184","941919","5128"
"Aguadilla","5","Administración Pública                   ","92","29","3600","52644012","14623"
"Aguadilla","5","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Aguas Buenas","7","Total Municipio Cuarto Trimestre 2022 ","","165","1737","11107162","6394"
"Aguas Buenas","7","Agricultura, Bosque, Pesca y Caza        ","11","8","54","173436","3212"
"Aguas Buenas","7","Mineria                                  ","21","0","0","0","0"
"Aguas Buenas","7","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Aguas Buenas","7","Construcción                             ","23","19","168","1234041","7360"
"Aguas Buenas","7","Manufactura                              ","31-33","10","60","284469","4741"
"Aguas Buenas","7","Alimentos                                ","311","4","38","162543","4240"
"Aguas Buenas","7","Productos de Tabaco y Bebidas            ","312","0","0","0","0"
"Aguas Buenas","7","Textiles                                 ","313","0","0","0","0"
"Aguas Buenas","7","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Aguas Buenas","7","Ropa                                     ","315","1","*","*","*"
"Aguas Buenas","7","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Aguas Buenas","7","Productos de Madera                      ","321","0","0","0","0"
"Aguas Buenas","7","Papel                                    ","322","0","0","0","0"
"Aguas Buenas","7","Imprenta e Industrias Relacionadas       ","323","1","*","*","*"
"Aguas Buenas","7","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Aguas Buenas","7","Productos Químicos                       ","325","0","0","0","0"
"Aguas Buenas","7","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Aguas Buenas","7","Productos Minerales no Metálicos         ","327","1","*","*","*"
"Aguas Buenas","7","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Aguas Buenas","7","Productos de Metal                       ","332","3","*","*","*"
"Aguas Buenas","7","Maquinaria                               ","333","0","0","0","0"
"Aguas Buenas","7","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Aguas Buenas","7","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Aguas Buenas","7","Equipo de Transportación                 ","336","0","0","0","0"
"Aguas Buenas","7","Muebles y Productos Relacionados         ","337","0","0","0","0"
"Aguas Buenas","7","Industrias Manufactureras Misceláneas    ","339","0","0","0","0"
"Aguas Buenas","7","Comercio al por Mayor                    ","42","11","25","243334","9865"
"Aguas Buenas","7","Comercio al Detal                        ","44-45","33","312","1798496","5764"
"Aguas Buenas","7","Transportación y Almacenamiento           ","48-49","3","*","*","*"
"Aguas Buenas","7","Información                              ","51","0","0","0","0"
"Aguas Buenas","7","Finanzas y Seguros                       ","52","3","*","*","*"
