MUNICIPIO,CTY,INDUSTRIA,NAICS,UNIDADES,EMPLEO PROMEDIO,SALRIO Total Municipio Segundo Trimestre 2019,Promedio
Adjuntas,1,Total Municipio Segundo Trimestre 2021 ,,222,"1,701","7,713,048","4,535"
Adjuntas,1,"Agricultura, Bosque, Pesca y Caza        ",11,74,211,"358,529","1,699"
Adjuntas,1,Mineria                                  ,21,1,*,*,*
Adjuntas,1,"Electricidad, Agua y Gas                 ",22,1,*,*,*
Adjuntas,1,Construcción                             ,23,8,18,"76,901","4,272"
Adjuntas,1,Manufactura                              ,31-33,13,198,"566,828","2,858"
Adjuntas,1,Alimentos                                ,311,8,45,"91,799","2,055"
Adjuntas,1,Productos de Tabaco y Bebidas            ,312,1,*,*,*
Adjuntas,1,Textiles                                 ,313,0,0,0,0
Adjuntas,1,Productos Textiles Excepto Ropa          ,314,0,0,0,0
Adjuntas,1,Ropa                                     ,315,1,*,*,*
Adjuntas,1,Cuero y Productos Relacionados           ,316,0,0,0,0
Adjuntas,1,Productos de Madera                      ,321,0,0,0,0
Adjuntas,1,Papel                                    ,322,0,0,0,0
Adjuntas,1,Imprenta e Industrias Relacionadas       ,323,0,0,0,0
Adjuntas,1,Productos de Petróleo y Carbón           ,324,0,0,0,0
Adjuntas,1,Productos Químicos                       ,325,0,0,0,0
Adjuntas,1,Productos de Goma y Plásticos            ,326,0,0,0,0
Adjuntas,1,Productos Minerales no Metálicos         ,327,0,0,0,0
Adjuntas,1,Industrias de Materiales Primarios       ,331,0,0,0,0
Adjuntas,1,Productos de Metal                       ,332,3,15,"40,390","2,754"
Adjuntas,1,Maquinaria                               ,333,0,0,0,0
Adjuntas,1,Computadora y Productos Electrónicos    ,334,0,0,0,0
Adjuntas,1,Equipo y Aparatos Eléctricos             ,335,0,0,0,0
Adjuntas,1,Equipo de Transportación                 ,336,0,0,0,0
Adjuntas,1,Muebles y Productos Relacionados         ,337,0,0,0,0
Adjuntas,1,Industrias Manufactureras Misceláneas    ,339,0,0,0,0
Adjuntas,1,Comercio al por Mayor                    ,42,4,21,"100,883","4,729"
Adjuntas,1,Comercio al Detal                        ,44-45,44,292,"1,078,373","3,693"
Adjuntas,1,Transportación y Almacenamiento           ,48-49,4,11,"150,005","13,236"
Adjuntas,1,Información                              ,51,0,0,0,0
Adjuntas,1,Finanzas y Seguros                       ,52,2,*,*,*
Adjuntas,1,"Bienes Raíces, Renta o Arrendamiento     ",53,1,*,*,*
Adjuntas,1,Servicios Profesionales y Técnicos       ,54,7,26,"160,979","6,113"
Adjuntas,1,Gerencia de Companías y Empresas         ,55,0,0,0,0
Adjuntas,1,Servicios Adm. y Desperdicios Sólidos    ,56,2,*,*,*
Adjuntas,1,Servicios Educativos                     ,61,2,254,1615997,6371
