MUNICIPIO,CTY,INDUSTRIA,NAICS,UNIDADES, EMPLEO PROMEDIO , SALRIO Total Municipio Tercer  Trimestre 2021 , Promedio 
Adjuntas,1,Total Municipio Tercer Trimestre 2021 ,,227," 1,722 "," 7,924,322 "," 4,601 "
Adjuntas,1,"Agricultura, Bosque, Pesca y Caza        ",11,72, 204 ," 382,252 "," 1,877 "
Adjuntas,1,Mineria                                  ,21,1, * , * , * 
Adjuntas,1,"Electricidad, Agua y Gas                 ",22,1, * , * , * 
Adjuntas,1,Construcción                             ,23,8, 23 ," 79,326 "," 3,449 "
Adjuntas,1,Manufactura                              ,31-33,13, 202 ," 617,775 "," 3,053 "
Adjuntas,1,Alimentos                                ,311,8, 49 ," 106,887 "," 2,167 "
Adjuntas,1,Productos de Tabaco y Bebidas            ,312,1, * , * , * 
Adjuntas,1,Textiles                                 ,313,0, -   , -   , -   
Adjuntas,1,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Adjuntas,1,Ropa                                     ,315,1, * , * , * 
Adjuntas,1,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Adjuntas,1,Productos de Madera                      ,321,0, -   , -   , -   
Adjuntas,1,Papel                                    ,322,0, -   , -   , -   
Adjuntas,1,Imprenta e Industrias Relacionadas       ,323,0, -   , -   , -   
Adjuntas,1,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Adjuntas,1,Productos Químicos                       ,325,0, -   , -   , -   
Adjuntas,1,Productos de Goma y Plásticos            ,326,0, -   , -   , -   
Adjuntas,1,Productos Minerales no Metálicos         ,327,0, -   , -   , -   
Adjuntas,1,Industrias de Materiales Primarios       ,331,0, -   , -   , -   
Adjuntas,1,Productos de Metal                       ,332,3, 19 ," 46,591 "," 2,496 "
Adjuntas,1,Maquinaria                               ,333,0, -   , -   , -   
Adjuntas,1,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Adjuntas,1,Equipo y Aparatos Eléctricos             ,335,0, -   , -   , -   
Adjuntas,1,Equipo de Transportación                 ,336,0, -   , -   , -   
Adjuntas,1,Muebles y Productos Relacionados         ,337,0, -   , -   , -   
Adjuntas,1,Industrias Manufactureras Misceláneas    ,339,0, -   , -   , -   
Adjuntas,1,Comercio al por Mayor                    ,42,4, 19 ," 105,279 "," 5,640 "
Adjuntas,1,Comercio al Detal                        ,44-45,45, 299 ," 1,078,672 "," 3,608 "
Adjuntas,1,Transportación y Almacenamiento           ,48-49,6, 20 ," 123,173 "," 6,058 "
Adjuntas,1,Información                              ,51,0, -   , -   , -   
Adjuntas,1,Finanzas y Seguros                       ,52,2, * , * , * 
Adjuntas,1,"Bienes Raíces, Renta o Arrendamiento     ",53,1, * , * , * 
Adjuntas,1,Servicios Profesionales y Técnicos       ,54,7, 22 ," 142,735 "," 6,588 "
Adjuntas,1,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Adjuntas,1,Servicios Adm. y Desperdicios Sólidos    ,56,2, * , * , * 
Adjuntas,1,Servicios Educativos                     ,61,2, 238 ," 1,554,447 "," 6,531 "
Adjuntas,1,Servicios de Salud y Asistencia Social   ,62,27, 191 ," 1,216,713 "," 6,381 "
Adjuntas,1,"Arte, Entretenimiento y Recreación       ",71,0, -   , -   , -   
Adjuntas,1,Alojamiento y Servicios de Alimentos     ,72,20, 107 ," 253,146 "," 2,373 "
Adjuntas,1,Otros Servicios Excepto Adm. Pública     ,81,5, 9 ," 31,715 "," 3,524 "
Adjuntas,1,Administración Pública                   ,92,10, 277 ," 1,318,804 "," 4,755 "
Adjuntas,1,Otros (Establecimientos no Clasificados) ,99,1, * , * , * 
Aguada,3,Total Municipio Tercer Trimestre 2021 ,,557," 4,537 "," 23,159,000 "," 5,104 "
Aguada,3,"Agricultura, Bosque, Pesca y Caza        ",11,14, 49 ," 132,445 "," 2,703 "
Aguada,3,Mineria                                  ,21,2, * , * , * 
Aguada,3,"Electricidad, Agua y Gas                 ",22,1, * , * , * 
Aguada,3,Construcción                             ,23,43, 331 ," 1,538,734 "," 4,644 "
Aguada,3,Manufactura                              ,31-33,33, 228 ," 775,819 "," 3,398 "
Aguada,3,Alimentos                                ,311,15, 121 ," 376,744 "," 3,122 "
Aguada,3,Productos de Tabaco y Bebidas            ,312,1, * , * , * 
Aguada,3,Textiles                                 ,313,0, -   , -   , -   
Aguada,3,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Aguada,3,Ropa                                     ,315,1, * , * , * 
Aguada,3,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Aguada,3,Productos de Madera                      ,321,0, -   , -   , -   
Aguada,3,Papel                                    ,322,0, -   , -   , -   
Aguada,3,Imprenta e Industrias Relacionadas       ,323,3, 10 ," 31,111 "," 3,111 "
Aguada,3,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Aguada,3,Productos Químicos                       ,325,0, -   , -   , -   
Aguada,3,Productos de Goma y Plásticos            ,326,1, * , * , * 
Aguada,3,Productos Minerales no Metálicos         ,327,3, 29 ," 115,558 "," 4,031 "
Aguada,3,Industrias de Materiales Primarios       ,331,1, * , * , * 
Aguada,3,Productos de Metal                       ,332,3, * , * , * 
Aguada,3,Maquinaria                               ,333,0, -   , -   , -   
Aguada,3,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Aguada,3,Equipo y Aparatos Eléctricos             ,335,0, -   , -   , -   
Aguada,3,Equipo de Transportación                 ,336,0, -   , -   , -   
Aguada,3,Muebles y Productos Relacionados         ,337,4, 8 ," 19,796 "," 2,475 "
Aguada,3,Industrias Manufactureras Misceláneas    ,339,1, * , * , * 
Aguada,3,Comercio al por Mayor                    ,42,12, 42 ," 176,329 "," 4,165 "
Aguada,3,Comercio al Detal                        ,44-45,155," 1,121 "," 4,847,758 "," 4,324 "
Aguada,3,Transportación y Almacenamiento           ,48-49,8, 46 ," 299,793 "," 6,470 "
Aguada,3,Información                              ,51,2, * , * , * 
Aguada,3,Finanzas y Seguros                       ,52,12, 103 ," 632,426 "," 6,160 "
Aguada,3,"Bienes Raíces, Renta o Arrendamiento     ",53,9, 56 ," 156,082 "," 2,787 "
Aguada,3,Servicios Profesionales y Técnicos       ,54,34, 112 ," 974,551 "," 8,676 "
Aguada,3,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Aguada,3,Servicios Adm. y Desperdicios Sólidos    ,56,19, 215 ," 670,308 "," 3,123 "
Aguada,3,Servicios Educativos                     ,61,8, 612 ," 3,998,503 "," 6,537 "
Aguada,3,Servicios de Salud y Asistencia Social   ,62,83, 363 ," 2,115,793 "," 5,829 "
Aguada,3,"Arte, Entretenimiento y Recreación       ",71,3, * , * , * 
Aguada,3,Alojamiento y Servicios de Alimentos     ,72,69, 560 ," 1,656,801 "," 2,960 "
Aguada,3,Otros Servicios Excepto Adm. Pública     ,81,36, 96 ," 412,086 "," 4,278 "
Aguada,3,Administración Pública                   ,92,13, 551 ," 4,609,994 "," 8,372 "
Aguada,3,Otros (Establecimientos no Clasificados) ,99,1, * , * , * 
Aguadilla,5,Total Municipio Tercer Trimestre 2021 ,,928," 18,263 "," 152,272,925 "," 8,338 "
Aguadilla,5,"Agricultura, Bosque, Pesca y Caza        ",11,15, 60 ," 155,770 "," 2,596 "
Aguadilla,5,Mineria                                  ,21,1, * , * , * 
Aguadilla,5,"Electricidad, Agua y Gas                 ",22,2, * , * , * 
Aguadilla,5,Construcción                             ,23,29, 444 ," 2,580,025 "," 5,807 "
Aguadilla,5,Manufactura                              ,31-33,44," 1,294 "," 13,862,880 "," 10,713 "
Aguadilla,5,Alimentos                                ,311,20, 365 ," 2,051,729 "," 5,621 "
Aguadilla,5,Productos de Tabaco y Bebidas            ,312,1, * , * , * 
Aguadilla,5,Textiles                                 ,313,0, -   , -   , -   
Aguadilla,5,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Aguadilla,5,Ropa                                     ,315,0, -   , -   , -   
Aguadilla,5,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Aguadilla,5,Productos de Madera                      ,321,1, * , * , * 
Aguadilla,5,Papel                                    ,322,0, -   , -   , -   
Aguadilla,5,Imprenta e Industrias Relacionadas       ,323,0, -   , -   , -   
Aguadilla,5,Productos de Petróleo y Carbón           ,324,1, * , * , * 
Aguadilla,5,Productos Químicos                       ,325,0, -   , -   , -   
Aguadilla,5,Productos de Goma y Plásticos            ,326,1, * , * , * 
Aguadilla,5,Productos Minerales no Metálicos         ,327,2, * , * , * 
Aguadilla,5,Industrias de Materiales Primarios       ,331,0, -   , -   , -   
Aguadilla,5,Productos de Metal                       ,332,4, 14 ," 46,055 "," 3,370 "
Aguadilla,5,Maquinaria                               ,333,2, * , * , * 
Aguadilla,5,Computadora y Productos Electrónicos    ,334,2, * , * , * 
Aguadilla,5,Equipo y Aparatos Eléctricos             ,335,2, * , * , * 
Aguadilla,5,Equipo de Transportación                 ,336,0, -   , -   , -   
Aguadilla,5,Muebles y Productos Relacionados         ,337,4, 9 ," 9,639 "," 1,071 "
Aguadilla,5,Industrias Manufactureras Misceláneas    ,339,4, 128 ," 1,172,687 "," 9,138 "
Aguadilla,5,Comercio al por Mayor                    ,42,26, 538 ," 6,455,253 "," 11,999 "
Aguadilla,5,Comercio al Detal                        ,44-45,208," 2,733 "," 11,790,752 "," 4,315 "
Aguadilla,5,Transportación y Almacenamiento           ,48-49,29, 625 ," 6,092,492 "," 9,748 "
Aguadilla,5,Información                              ,51,12, 303 ," 2,247,283 "," 7,425 "
Aguadilla,5,Finanzas y Seguros                       ,52,30, 283 ," 2,576,511 "," 9,115 "
Aguadilla,5,"Bienes Raíces, Renta o Arrendamiento     ",53,35, 275 ," 1,252,220 "," 4,559 "
Aguadilla,5,Servicios Profesionales y Técnicos       ,54,84," 2,376 "," 32,610,172 "," 13,727 "
Aguadilla,5,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Aguadilla,5,Servicios Adm. y Desperdicios Sólidos    ,56,25, 418 ," 1,916,118 "," 4,584 "
Aguadilla,5,Servicios Educativos                     ,61,22," 1,620 "," 11,954,840 "," 7,378 "
Aguadilla,5,Servicios de Salud y Asistencia Social   ,62,170," 1,634 "," 10,669,294 "," 6,531 "
Aguadilla,5,"Arte, Entretenimiento y Recreación       ",71,9, 132 ," 478,988 "," 3,629 "
Aguadilla,5,Alojamiento y Servicios de Alimentos     ,72,106," 1,551 "," 4,979,318 "," 3,210 "
Aguadilla,5,Otros Servicios Excepto Adm. Pública     ,81,50, 167 ," 698,549 "," 4,191 "
Aguadilla,5,Administración Pública                   ,92,31," 3,554 "," 39,540,471 "," 11,126 "
Aguadilla,5,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Aguas Buenas,7,Total Municipio Tercer Trimestre 2021 ,,147," 1,643 "," 8,820,036 "," 5,367 "
Aguas Buenas,7,"Agricultura, Bosque, Pesca y Caza        ",11,5, * , * , * 
Aguas Buenas,7,Mineria                                  ,21,0, -   , -   , -   
Aguas Buenas,7,"Electricidad, Agua y Gas                 ",22,1, * , * , * 
Aguas Buenas,7,Construcción                             ,23,14, 137 ," 825,339 "," 6,010 "
Aguas Buenas,7,Manufactura                              ,31-33,9, 84 ," 386,397 "," 4,582 "
Aguas Buenas,7,Alimentos                                ,311,4, 38 ," 157,789 "," 4,116 "
Aguas Buenas,7,Productos de Tabaco y Bebidas            ,312,0, -   , -   , -   
Aguas Buenas,7,Textiles                                 ,313,0, -   , -   , -   
Aguas Buenas,7,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Aguas Buenas,7,Ropa                                     ,315,1, * , * , * 
Aguas Buenas,7,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Aguas Buenas,7,Productos de Madera                      ,321,0, -   , -   , -   
Aguas Buenas,7,Papel                                    ,322,0, -   , -   , -   
Aguas Buenas,7,Imprenta e Industrias Relacionadas       ,323,1, * , * , * 
Aguas Buenas,7,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Aguas Buenas,7,Productos Químicos                       ,325,0, -   , -   , -   
Aguas Buenas,7,Productos de Goma y Plásticos            ,326,0, -   , -   , -   
Aguas Buenas,7,Productos Minerales no Metálicos         ,327,1, * , * , * 
