MUNICIPIO,CTY,INDUSTRIA,NAICS,UNIDADES, EMPLEO PROMEDIO , SALRIO Total Municipio Cuarto Trimestre 2021 , Promedio 
Adjuntas,1,Total Municipio Cuarto Trimestre 2021 ,,224,1725,9228536,5351
Adjuntas,1,"Agricultura, Bosque, Pesca y Caza        ",11,72,222,454720,2048
Adjuntas,1,Mineria                                  ,21,1,*,*,*
Adjuntas,1,"Electricidad, Agua y Gas                 ",22,1,*,*,*
Adjuntas,1,Construcción                             ,23,7,36,126190,3538
Adjuntas,1,Manufactura                              ,31-33,13,191,679302,3563
Adjuntas,1,Alimentos                                ,311,8,51,114525,2246
Adjuntas,1,Productos de Tabaco y Bebidas            ,312,1,*,*,*
Adjuntas,1,Textiles                                 ,313,0,0,0,0
Adjuntas,1,Productos Textiles Excepto Ropa          ,314,0,0,0,0
Adjuntas,1,Ropa                                     ,315,1,*,*,*
Adjuntas,1,Cuero y Productos Relacionados           ,316,0,0,0,0
Adjuntas,1,Productos de Madera                      ,321,0,0,0,0
Adjuntas,1,Papel                                    ,322,0,0,0,0
Adjuntas,1,Imprenta e Industrias Relacionadas       ,323,0,0,0,0
Adjuntas,1,Productos de Petróleo y Carbón           ,324,0,0,0,0
Adjuntas,1,Productos Químicos                       ,325,0,0,0,0
Adjuntas,1,Productos de Goma y Plásticos            ,326,0,0,0,0
Adjuntas,1,Productos Minerales no Metálicos         ,327,0,0,0,0
Adjuntas,1,Industrias de Materiales Primarios       ,331,0,0,0,0
Adjuntas,1,Productos de Metal                       ,332,3,17,42736,2514
Adjuntas,1,Maquinaria                               ,333,0,0,0,0
Adjuntas,1,Computadora y Productos Electrónicos    ,334,0,0,0,0
Adjuntas,1,Equipo y Aparatos Eléctricos             ,335,0,0,0,0
Adjuntas,1,Equipo de Transportación                 ,336,0,0,0,0
Adjuntas,1,Muebles y Productos Relacionados         ,337,0,0,0,0
Adjuntas,1,Industrias Manufactureras Misceláneas    ,339,0,0,0,0
Adjuntas,1,Comercio al por Mayor                    ,42,3,16,70329,4396
Adjuntas,1,Comercio al Detal                        ,44-45,46,245,1068782,4356
Adjuntas,1,Transportación y Almacenamiento           ,48-49,6,25,174435,6886
Adjuntas,1,Información                              ,51,0,0,0,0
Adjuntas,1,Finanzas y Seguros                       ,52,2,*,*,*
Adjuntas,1,"Bienes Raíces, Renta o Arrendamiento     ",53,1,*,*,*
Adjuntas,1,Servicios Profesionales y Técnicos       ,54,7,21,144360,6874
Adjuntas,1,Gerencia de Companías y Empresas         ,55,0,0,0,0
Adjuntas,1,Servicios Adm. y Desperdicios Sólidos    ,56,2,*,*,*
Adjuntas,1,Servicios Educativos                     ,61,2, 257 ," 1,859,180 "," 7,244 "
Adjuntas,1,Servicios de Salud y Asistencia Social   ,62,27,198,1441564,7281
Adjuntas,1,"Arte, Entretenimiento y Recreación       ",71,0,0,0,0
Adjuntas,1,Alojamiento y Servicios de Alimentos     ,72,20,102,258388,2525
Adjuntas,1,Otros Servicios Excepto Adm. Pública     ,81,5,9,31798,3407
Adjuntas,1,Administración Pública                   ,92,9, 287 ," 1,779,462 "," 6,200 "
Adjuntas,1,Otros (Establecimientos no Clasificados) ,99,0,0,0,0
Aguada,3,Total Municipio Cuarto Trimestre 2021 ,,559,4788,26722041,5581
Aguada,3,"Agricultura, Bosque, Pesca y Caza        ",11,16,33,94010,2820
Aguada,3,Mineria                                  ,21,2,*,*,*
Aguada,3,"Electricidad, Agua y Gas                 ",22,1,*,*,*
Aguada,3,Construcción                             ,23,41,355,1887771,5318
Aguada,3,Manufactura                              ,31-33,32,239,855008,3582
Aguada,3,Alimentos                                ,311,15,127,441726,3487
Aguada,3,Productos de Tabaco y Bebidas            ,312,1,*,*,*
Aguada,3,Textiles                                 ,313,0,0,0,0
Aguada,3,Productos Textiles Excepto Ropa          ,314,0,0,0,0
Aguada,3,Ropa                                     ,315,1,*,*,*
Aguada,3,Cuero y Productos Relacionados           ,316,0,0,0,0
Aguada,3,Productos de Madera                      ,321,0,0,0,0
Aguada,3,Papel                                    ,322,0,0,0,0
Aguada,3,Imprenta e Industrias Relacionadas       ,323,2,*,*,*
Aguada,3,Productos de Petróleo y Carbón           ,324,0,0,0,0
Aguada,3,Productos Químicos                       ,325,0,0,0,0
Aguada,3,Productos de Goma y Plásticos            ,326,1,*,*,*
Aguada,3,Productos Minerales no Metálicos         ,327,3,31,113435,3659
Aguada,3,Industrias de Materiales Primarios       ,331,1,*,*,*
Aguada,3,Productos de Metal                       ,332,3,*,*,*
Aguada,3,Maquinaria                               ,333,0,0,0,0
Aguada,3,Computadora y Productos Electrónicos    ,334,0,0,0,0
Aguada,3,Equipo y Aparatos Eléctricos             ,335,0,0,0,0
Aguada,3,Equipo de Transportación                 ,336,0,0,0,0
Aguada,3,Muebles y Productos Relacionados         ,337,4,8,24985,3123
Aguada,3,Industrias Manufactureras Misceláneas    ,339,1,*,*,*
Aguada,3,Comercio al por Mayor                    ,42,12,46,246582,5322
Aguada,3,Comercio al Detal                        ,44-45,157,1173,5226874,4457
Aguada,3,Transportación y Almacenamiento           ,48-49,8,32,396941,12277
Aguada,3,Información                              ,51,3,2,12308,5275
Aguada,3,Finanzas y Seguros                       ,52,12,112,712394,6380
Aguada,3,"Bienes Raíces, Renta o Arrendamiento     ",53,8,53,197914,3734
Aguada,3,Servicios Profesionales y Técnicos       ,54,33,120,1062446,8878
Aguada,3,Gerencia de Companías y Empresas         ,55,0,0,0,0
Aguada,3,Servicios Adm. y Desperdicios Sólidos    ,56,18,281,1074456,3824
Aguada,3,Servicios Educativos                     ,61,8, 658 ," 4,728,961 "," 7,183 "
Aguada,3,Servicios de Salud y Asistencia Social   ,62,86,376,2284032,6069
Aguada,3,"Arte, Entretenimiento y Recreación       ",71,3,*,*,*
Aguada,3,Alojamiento y Servicios de Alimentos     ,72,70,596,1854486,3112
Aguada,3,Otros Servicios Excepto Adm. Pública     ,81,36,105,499733,4759
Aguada,3,Administración Pública                   ,92,12, 557 ," 5,409,475 "," 9,706 "
Aguada,3,Otros (Establecimientos no Clasificados) ,99,1,*,*,*
Aguadilla,5,Total Municipio Cuarto Trimestre 2021 ,,943,18914,189980068,10045
Aguadilla,5,"Agricultura, Bosque, Pesca y Caza        ",11,15,56,163339,2917
Aguadilla,5,Mineria                                  ,21,1,*,*,*
Aguadilla,5,"Electricidad, Agua y Gas                 ",22,2,*,*,*
Aguadilla,5,Construcción                             ,23,30,449,2893896,6440
Aguadilla,5,Manufactura                              ,31-33,46,1367,21531155,15755
Aguadilla,5,Alimentos                                ,311,20,383,2466627,6446
Aguadilla,5,Productos de Tabaco y Bebidas            ,312,1,*,*,*
Aguadilla,5,Textiles                                 ,313,0,0,0,0
Aguadilla,5,Productos Textiles Excepto Ropa          ,314,0,0,0,0
Aguadilla,5,Ropa                                     ,315,0,0,0,0
Aguadilla,5,Cuero y Productos Relacionados           ,316,0,0,0,0
Aguadilla,5,Productos de Madera                      ,321,1,*,*,*
