fipstate,fipscty,sic,empflag,emp,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
72,1,----,,836,8736,134,93,22,9,8,1,1,0,0,0
72,1,07--,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,700,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,780,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,15--,,149,1409,10,6,0,1,2,1,0,0,0,0
72,1,1500,,70,751,7,5,0,0,2,0,0,0,0,0
72,1,1510,,70,751,7,5,0,0,2,0,0,0,0,0
72,1,1600,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,1620,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,1700,B,0,0,2,0,0,1,0,1,0,0,0,0
72,1,1730,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,1750,B,0,0,1,0,0,0,0,1,0,0,0,0
72,1,1751,B,0,0,1,0,0,0,0,1,0,0,0,0
72,1,20--,,217,2265,12,8,1,1,1,0,1,0,0,0
72,1,2000,,28,304,6,4,1,1,0,0,0,0,0,0
72,1,2030,B,0,0,5,4,0,1,0,0,0,0,0,0
72,1,2033,A,0,0,4,4,0,0,0,0,0,0,0,0
72,1,2035,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,2060,A,0,0,1,0,1,0,0,0,0,0,0,0
72,1,2064,A,0,0,1,0,1,0,0,0,0,0,0,0
72,1,2300,C,0,0,1,0,0,0,0,0,1,0,0,0
72,1,2320,C,0,0,1,0,0,0,0,0,1,0,0,0
72,1,2325,C,0,0,1,0,0,0,0,0,1,0,0,0
72,1,2400,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,2430,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,2434,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3200,B,0,0,1,0,0,0,1,0,0,0,0,0
72,1,3270,B,0,0,1,0,0,0,1,0,0,0,0,0
72,1,3272,B,0,0,1,0,0,0,1,0,0,0,0,0
72,1,3400,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3490,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3499,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3500,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3550,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3556,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3600,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3670,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3672,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,40--,A,0,0,2,1,0,1,0,0,0,0,0,0
72,1,4500,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,4510,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,4900,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,4940,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,50--,A,0,0,3,3,0,0,0,0,0,0,0,0
72,1,5000,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5010,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5015,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5100,A,0,0,2,2,0,0,0,0,0,0,0,0
72,1,5140,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5149,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5170,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5171,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,52--,C,0,0,57,41,12,3,1,0,0,0,0,0
72,1,5200,A,0,0,4,3,1,0,0,0,0,0,0,0
72,1,5210,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5250,A,0,0,3,2,1,0,0,0,0,0,0,0
72,1,5300,B,0,0,2,0,0,2,0,0,0,0,0,0
72,1,5330,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,5390,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,5400,,56,295,12,7,4,1,0,0,0,0,0,0
72,1,5410,B,0,0,4,3,0,1,0,0,0,0,0,0
72,1,5420,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5460,B,0,0,7,3,4,0,0,0,0,0,0,0
72,1,5500,B,0,0,9,7,2,0,0,0,0,0,0,0
72,1,5530,A,0,0,2,1,1,0,0,0,0,0,0,0
72,1,5540,A,0,0,7,6,1,0,0,0,0,0,0,0
72,1,5600,,14,142,5,4,1,0,0,0,0,0,0,0
72,1,5650,A,0,0,3,2,1,0,0,0,0,0,0,0
72,1,5660,A,0,0,2,2,0,0,0,0,0,0,0,0
72,1,5700,,11,152,3,2,1,0,0,0,0,0,0,0
72,1,5710,,11,152,3,2,1,0,0,0,0,0,0,0
72,1,5712,,11,152,3,2,1,0,0,0,0,0,0,0
72,1,5800,,50,396,10,8,1,0,1,0,0,0,0,0
72,1,5812,,50,396,10,8,1,0,1,0,0,0,0,0
72,1,5900,B,0,0,12,10,2,0,0,0,0,0,0,0
72,1,5910,,20,191,5,3,2,0,0,0,0,0,0,0
72,1,5920,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5940,,3,32,3,3,0,0,0,0,0,0,0,0
72,1,5943,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5944,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5949,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5960,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5962,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5980,A,0,0,2,2,0,0,0,0,0,0,0,0
72,1,5983,A,0,0,2,2,0,0,0,0,0,0,0,0
72,1,60--,B,0,0,6,2,3,0,1,0,0,0,0,0
72,1,6000,A,0,0,3,2,1,0,0,0,0,0,0,0
72,1,6020,A,0,0,3,2,1,0,0,0,0,0,0,0
72,1,6100,B,0,0,2,0,1,0,1,0,0,0,0,0
72,1,6140,B,0,0,2,0,1,0,1,0,0,0,0,0
72,1,6500,A,0,0,1,0,1,0,0,0,0,0,0,0
72,1,6510,A,0,0,1,0,1,0,0,0,0,0,0,0
72,1,70--,,177,2174,39,27,6,3,3,0,0,0,0,0
72,1,7000,A,0,0,1,0,1,0,0,0,0,0,0,0
