fipstate,fipscty,naics,empflag,emp,qp1,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
72,001,------,,741,1975,8358,124,87,21,7,8,0,1,0,0,0
72,001,23----,,82,263,909,6,3,1,0,2,0,0,0,0,0
72,001,236///,B,0,0,0,2,1,0,0,1,0,0,0,0,0
72,001,237///,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,001,238///,B,0,0,0,2,0,1,0,1,0,0,0,0,0
72,001,31----,C,0,0,0,14,10,1,1,1,0,1,0,0,0
72,001,311///,B,0,0,0,6,4,1,1,0,0,0,0,0,0
72,001,315///,C,0,0,0,1,0,0,0,0,0,1,0,0,0
72,001,327///,B,0,0,0,3,2,0,0,1,0,0,0,0,0
72,001,332///,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,001,334///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,001,337///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,001,42----,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,001,424///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,001,44----,,144,309,1272,36,27,5,4,0,0,0,0,0,0
72,001,441///,A,0,0,0,2,1,1,0,0,0,0,0,0,0
72,001,442///,,14,32,129,3,2,1,0,0,0,0,0,0,0
72,001,444///,,7,15,61,5,5,0,0,0,0,0,0,0,0
72,001,445///,B,0,0,0,6,4,0,2,0,0,0,0,0,0
72,001,446///,,15,39,168,3,1,2,0,0,0,0,0,0,0
72,001,447///,,12,25,97,5,5,0,0,0,0,0,0,0,0
72,001,448///,,13,34,152,6,5,1,0,0,0,0,0,0,0
72,001,452///,B,0,0,0,2,0,0,2,0,0,0,0,0,0
72,001,453///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,001,454///,,7,19,73,3,3,0,0,0,0,0,0,0,0
72,001,48----,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,001,485///,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,001,52----,B,0,0,0,3,0,2,0,1,0,0,0,0,0
72,001,522///,B,0,0,0,3,0,2,0,1,0,0,0,0,0
72,001,53----,,13,41,179,4,2,2,0,0,0,0,0,0,0
72,001,531///,A,0,0,0,2,0,2,0,0,0,0,0,0,0
72,001,532///,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,001,54----,,16,49,158,7,7,0,0,0,0,0,0,0,0
72,001,541///,,16,49,158,7,7,0,0,0,0,0,0,0,0
72,001,56----,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,001,561///,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,001,61----,B,0,0,0,1,0,0,0,1,0,0,0,0,0
72,001,611///,B,0,0,0,1,0,0,0,1,0,0,0,0,0
72,001,62----,,108,365,1608,20,11,5,2,2,0,0,0,0,0
72,001,621///,B,0,0,0,16,11,3,0,2,0,0,0,0,0
72,001,623///,A,0,0,0,1,0,1,0,0,0,0,0,0,0
72,001,624///,B,0,0,0,3,0,1,2,0,0,0,0,0,0
72,001,72----,,65,142,603,15,11,3,0,1,0,0,0,0,0
72,001,721///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,001,722///,B,0,0,0,14,10,3,0,1,0,0,0,0,0
72,001,81----,A,0,0,0,8,6,2,0,0,0,0,0,0,0
72,001,811///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,001,812///,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,001,813///,A,0,0,0,5,3,2,0,0,0,0,0,0,0
72,001,99----,,6,9,41,5,5,0,0,0,0,0,0,0,0
72,003,------,,3578,12185,55344,421,295,59,29,29,6,2,0,1,0
72,003,21----,B,0,0,0,2,1,0,0,1,0,0,0,0,0
72,003,212///,B,0,0,0,2,1,0,0,1,0,0,0,0,0
72,003,23----,,573,1527,8041,34,15,8,4,4,2,1,0,0,0
72,003,236///,,406,989,5375,20,8,4,4,1,2,1,0,0,0
72,003,237///,B,0,0,0,3,1,0,0,2,0,0,0,0,0
72,003,238///,B,0,0,0,11,6,4,0,1,0,0,0,0,0
72,003,31----,,1136,4997,24291,35,19,3,8,4,0,0,0,1,0
72,003,311///,B,0,0,0,13,7,2,3,1,0,0,0,0,0
72,003,315///,A,0,0,0,1,0,0,1,0,0,0,0,0,0
72,003,321///,A,0,0,0,2,1,1,0,0,0,0,0,0,0
72,003,322///,B,0,0,0,1,0,0,0,1,0,0,0,0,0
72,003,323///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,003,327///,B,0,0,0,2,0,0,1,1,0,0,0,0,0
72,003,332///,B,0,0,0,7,5,0,2,0,0,0,0,0,0
72,003,334///,F,0,0,0,1,0,0,0,0,0,0,0,1,0
72,003,337///,B,0,0,0,7,5,0,1,1,0,0,0,0,0
72,003,42----,,50,148,635,5,2,1,1,1,0,0,0,0,0
72,003,423///,B,0,0,0,3,1,0,1,1,0,0,0,0,0
72,003,424///,A,0,0,0,2,1,1,0,0,0,0,0,0,0
72,003,44----,,708,1879,8076,131,99,18,3,8,3,0,0,0,0
72,003,441///,,48,140,613,29,27,2,0,0,0,0,0,0,0
72,003,442///,,14,37,160,3,2,0,1,0,0,0,0,0,0
72,003,443///,,9,24,101,6,6,0,0,0,0,0,0,0,0
72,003,444///,,94,282,1216,17,13,2,0,2,0,0,0,0,0
72,003,445///,,243,601,2581,13,9,0,0,1,3,0,0,0,0
72,003,446///,,85,244,1036,13,7,3,2,1,0,0,0,0,0
72,003,447///,,59,123,574,13,8,4,0,1,0,0,0,0,0
72,003,448///,,48,111,487,20,16,4,0,0,0,0,0,0,0
72,003,451///,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,003,452///,,52,126,507,5,3,0,0,2,0,0,0,0,0
72,003,453///,B,0,0,0,8,5,3,0,0,0,0,0,0,0
72,003,454///,B,0,0,0,2,1,0,0,1,0,0,0,0,0
72,003,48----,A,0,0,0,4,2,1,1,0,0,0,0,0,0
72,003,484///,A,0,0,0,3,1,1,1,0,0,0,0,0,0
72,003,488///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,003,51----,A,0,0,0,5,4,0,1,0,0,0,0,0,0
72,003,511///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,003,515///,A,0,0,0,1,0,0,1,0,0,0,0,0,0
72,003,517///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,003,518///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,003,519///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,003,52----,,85,499,1851,8,2,3,2,1,0,0,0,0,0
72,003,522///,B,0,0,0,5,0,2,2,1,0,0,0,0,0
72,003,523///,A,0,0,0,2,1,1,0,0,0,0,0,0,0
72,003,524///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,003,53----,A,0,0,0,7,6,1,0,0,0,0,0,0,0
72,003,531///,A,0,0,0,2,1,1,0,0,0,0,0,0,0
72,003,532///,,8,33,147,5,5,0,0,0,0,0,0,0,0
72,003,54----,B,0,0,0,19,17,1,1,0,0,0,0,0,0
72,003,541///,B,0,0,0,19,17,1,1,0,0,0,0,0,0
72,003,56----,,190,912,3237,12,9,0,1,1,0,1,0,0,0
72,003,561///,,190,912,3237,12,9,0,1,1,0,1,0,0,0
72,003,61----,,65,173,633,7,3,2,0,2,0,0,0,0,0
72,003,611///,,65,173,633,7,3,2,0,2,0,0,0,0,0
72,003,62----,,233,742,3253,49,37,7,2,2,1,0,0,0,0
72,003,621///,,173,533,2437,39,31,5,1,1,1,0,0,0,0
72,003,623///,B,0,0,0,5,3,1,0,1,0,0,0,0,0
72,003,624///,B,0,0,0,5,3,1,1,0,0,0,0,0,0
72,003,71----,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,003,712///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,003,72----,,254,484,2052,45,31,7,3,4,0,0,0,0,0
72,003,721///,,18,53,238,4,2,1,1,0,0,0,0,0,0
72,003,722///,,236,431,1814,41,29,6,2,4,0,0,0,0,0
72,003,81----,,96,217,868,29,22,5,1,1,0,0,0,0,0
72,003,811///,,28,56,245,16,14,2,0,0,0,0,0,0,0
72,003,812///,,29,65,241,6,3,2,1,0,0,0,0,0,0
72,003,813///,,39,96,382,7,5,1,0,1,0,0,0,0,0
72,003,99----,,56,107,446,28,25,2,1,0,0,0,0,0,0
72,005,------,,11759,61052,262615,815,523,123,71,56,25,13,2,0,2
72,005,21----,A,0,0,0,1,0,1,0,0,0,0,0,0,0
72,005,212///,A,0,0,0,1,0,1,0,0,0,0,0,0,0
72,005,23----,,162,476,2150,28,19,5,1,3,0,0,0,0,0
72,005,236///,,73,196,1155,15,12,1,0,2,0,0,0,0,0
72,005,237///,,7,18,46,3,2,1,0,0,0,0,0,0,0
72,005,238///,,82,262,949,10,5,3,1,1,0,0,0,0,0
72,005,31----,,4307,35357,151902,40,21,7,2,2,1,4,1,0,2
72,005,311///,,150,461,2004,14,9,4,0,0,0,1,0,0,0
72,005,316///,C,0,0,0,1,0,0,0,0,0,1,0,0,0
72,005,321///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,005,323///,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,005,325///,C,0,0,0,1,0,0,0,0,0,1,0,0,0
72,005,326///,A,0,0,0,1,0,1,0,0,0,0,0,0,0
72,005,327///,B,0,0,0,2,0,1,1,0,0,0,0,0,0
72,005,332///,,51,175,824,6,4,1,0,1,0,0,0,0,0
72,005,333///,B,0,0,0,1,0,0,0,0,1,0,0,0,0
72,005,334///,H,0,0,0,6,0,0,1,1,0,1,1,0,2
72,005,337///,A,0,0,0,3,3,0,0,0,0,0,0,0,0
72,005,339///,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,005,42----,,223,1230,5044,29,19,5,3,1,1,0,0,0,0
72,005,423///,,131,744,2778,17,11,3,2,0,1,0,0,0,0
72,005,424///,B,0,0,0,11,8,2,0,1,0,0,0,0,0
72,005,425///,A,0,0,0,1,0,0,1,0,0,0,0,0,0
72,005,44----,,2039,5361,22690,217,137,36,18,16,8,2,0,0,0
72,005,441///,,218,775,3294,27,20,2,1,3,1,0,0,0,0
72,005,442///,,97,279,1053,7,3,1,1,2,0,0,0,0,0
72,005,443///,B,0,0,0,7,5,1,0,1,0,0,0,0,0
72,005,444///,,178,489,2032,24,19,0,2,3,0,0,0,0,0
72,005,445///,,496,1083,4560,27,18,1,2,0,5,1,0,0,0
72,005,446///,,254,914,3841,32,16,10,2,3,1,0,0,0,0
72,005,447///,,75,153,599,22,19,1,2,0,0,0,0,0,0
72,005,448///,,271,542,2415,34,14,14,4,1,1,0,0,0,0
72,005,451///,,88,219,916,16,10,5,0,1,0,0,0,0,0
72,005,452///,,293,739,3294,9,2,0,4,2,0,1,0,0,0
72,005,453///,,22,42,177,10,9,1,0,0,0,0,0,0,0
72,005,454///,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,005,48----,,626,2264,10032,16,9,1,1,0,3,2,0,0,0
72,005,484///,B,0,0,0,6,4,1,1,0,0,0,0,0,0
72,005,488///,,439,1670,7435,6,3,0,0,0,1,2,0,0,0
72,005,492///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,005,493///,C,0,0,0,3,1,0,0,0,2,0,0,0,0
72,005,51----,B,0,0,0,7,4,1,1,1,0,0,0,0,0
72,005,511///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,005,512///,B,0,0,0,1,0,0,0,1,0,0,0,0,0
72,005,515///,A,0,0,0,1,0,0,1,0,0,0,0,0,0
72,005,517///,A,0,0,0,2,1,1,0,0,0,0,0,0,0
72,005,519///,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,005,52----,,340,2515,9950,29,10,9,8,1,0,1,0,0,0
72,005,522///,,316,2339,9283,24,8,6,8,1,0,1,0,0,0
72,005,523///,A,0,0,0,2,1,1,0,0,0,0,0,0,0
72,005,524///,A,0,0,0,3,1,2,0,0,0,0,0,0,0
72,005,53----,,223,725,3857,34,24,3,5,1,1,0,0,0,0
72,005,531///,,190,627,3442,24,17,1,4,1,1,0,0,0,0
72,005,532///,,33,98,415,10,7,2,1,0,0,0,0,0,0
72,005,54----,,279,2219,9217,68,57,6,3,1,1,0,0,0,0
72,005,541///,,279,2219,9217,68,57,6,3,1,1,0,0,0,0
72,005,55----,B,0,0,0,1,0,0,0,1,0,0,0,0,0
72,005,551///,B,0,0,0,1,0,0,0,1,0,0,0,0,0
72,005,56----,,501,1844,9266,26,16,4,1,1,1,3,0,0,0
72,005,561///,E,0,0,0,25,16,3,1,1,1,3,0,0,0
72,005,562///,A,0,0,0,1,0,1,0,0,0,0,0,0,0
72,005,61----,,392,1206,4704,19,7,0,4,6,2,0,0,0,0
72,005,611///,,392,1206,4704,19,7,0,4,6,2,0,0,0,0
72,005,62----,,1121,4471,19464,140,106,20,8,2,3,0,1,0,0
72,005,621///,,394,1433,6456,120,96,18,4,1,1,0,0,0,0
72,005,622///,E,0,0,0,1,0,0,0,0,0,0,1,0,0
72,005,623///,B,0,0,0,8,4,1,3,0,0,0,0,0,0
72,005,624///,C,0,0,0,11,6,1,1,1,2,0,0,0,0
