"fipstate","fipscty","naics","empflag","emp","qp1","ap","est","n1_4","n5_9","n10_19","n20_49","n50_99","n100_249","n250_499","n500_999","n1000","n1000_1","n1000_2","n1000_3","n1000_4","censtate","cencty"
"72","001","------",,969,3000,13133,128,90,21,10,3,3,0,1,0,0,0,0,0,0,"06","001"
"72","001","23----","C",0,0,0,6,4,0,0,0,2,0,0,0,0,0,0,0,0,"06","001"
"72","001","236///","B",0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","2361//","B",0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","23611/","B",0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","236115","A",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","236118","B",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","237///","A",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","2371//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","23711/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","237110","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","2373//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","23731/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","237310","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","238///","B",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","2381//","B",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","23819/","B",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","238190","B",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","31----","E",0,0,0,12,8,1,2,0,0,0,1,0,0,0,0,0,0,"06","001"
"72","001","311///",,22,26,88,6,5,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","3114//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","31141/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","311412","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","3118//","A",0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","31181/","A",0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","311811","A",0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","3119//","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","31199/","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","311991","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","315///","E",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"06","001"
"72","001","3152//","E",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"06","001"
"72","001","31522/","E",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"06","001"
"72","001","315224","E",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"06","001"
"72","001","327///","B",0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","3273//","B",0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","32732/","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","327320","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","32733/","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","327331","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
