"FIPSTATE","FIPSCTY","NAICS","EMPFLAG","EMP","QP1","AP","EST","N1_4","N5_9","N10_19","N20_49","N50_99","N100_249","N250_499","N500_999","N1000","N1000_1","N1000_2","N1000_3","N1000_4","CENSTATE","CENCTY"
"72","001","------",,1012,3486,14249,117,82,16,10,6,2,0,1,0,0,0,0,0,0,"06","001"
"72","001","23----","C",0,0,0,6,4,0,0,1,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","236///","B",0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","2361//","B",0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","23611/","B",0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","236115","A",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","236118","B",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","237///","A",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","2371//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","23711/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","237110","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","2373//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","23731/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","237310","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","238///","B",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","2381//","B",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","23819/","B",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","238190","B",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","31----","E",0,0,0,11,8,0,2,0,0,0,1,0,0,0,0,0,0,"06","001"
"72","001","311///",,10,12,59,5,5,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","3114//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","31141/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","311412","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","3118//","A",0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","31181/","A",0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
