"fipstate","fipscty","naics","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","n1_4","n5_9","n10_19","n20_49","n50_99","n100_249","n250_499","n500_999","n1000","n1000_1","n1000_2","n1000_3","n1000_4","censtate","cencty"
72,1,"------","","G",706,"G",2672,"G",10719,130,89,22,12,6,1,0,0,0,0,0,0,0,0,6,1
72,1,"23----","B","D",0,"D",0,"D",0,8,5,1,1,1,0,0,0,0,0,0,0,0,0,6,1
72,1,"236///","A","D",0,"D",0,"D",0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"2361//","A","D",0,"D",0,"D",0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"23611/","A","D",0,"D",0,"D",0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"236115","A","D",0,"D",0,"D",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"236118","A","D",0,"D",0,"D",0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"238///","B","D",0,"D",0,"D",0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,"2382//","B","D",0,"D",0,"D",0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,"23821/","B","D",0,"D",0,"D",0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,"238210","B","D",0,"D",0,"D",0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,"23829/","A","D",0,"D",0,"D",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"238290","A","D",0,"D",0,"D",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"31----","","G",26,"H",40,"H",193,6,3,3,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"311///","","G",20,"G",26,"G",118,4,2,2,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"3114//","A","D",0,"D",0,"D",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"31141/","A","D",0,"D",0,"D",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"311412","A","D",0,"D",0,"D",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"3118//","","G",20,"G",26,"G",110,3,1,2,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"31181/","","G",20,"G",26,"G",110,3,1,2,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"311811","","G",20,"G",26,"G",110,3,1,2,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"315///","A","D",0,"D",0,"D",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"3152//","A","D",0,"D",0,"D",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"31521/","A","D",0,"D",0,"D",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"315210","A","D",0,"D",0,"D",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"332///","A","D",0,"D",0,"D",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"3323//","A","D",0,"D",0,"D",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"33232/","A","D",0,"D",0,"D",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"332321","A","D",0,"D",0,"D",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"44----","","G",221,"G",690,"G",2439,43,32,6,4,0,1,0,0,0,0,0,0,0,0,6,1
72,1,"441///","A","D",0,"D",0,"D",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"4413//","A","D",0,"D",0,"D",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"44131/","A","D",0,"D",0,"D",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"441310","A","D",0,"D",0,"D",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"442///","A","D",0,"D",0,"D",0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"4421//","A","D",0,"D",0,"D",0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"44211/","A","D",0,"D",0,"D",0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"442110","A","D",0,"D",0,"D",0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,"444///","B","S",0,"S",0,"H",519,7,6,0,1,0,0,0,0,0,0,0,0,0,0,6,1
