fipstate,fipscty,naics,empflag,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,censtate,cencty
72,1,------,,G,943,G,3854,G,15650,124,73,29,12,6,3,N,N,N,N,N,N,N,N,6,1
72,1,23----,A,S,0,S,0,S,0,6,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,236///,,G,0,G,0,H,33,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,2362//,,G,0,G,0,H,33,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,23622/,,G,0,G,0,H,33,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,236220,,G,0,G,0,H,33,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,238///,A,S,0,S,0,S,0,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,2382//,A,S,0,S,0,S,0,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,31----,,G,215,G,580,G,2330,6,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,311///,,J,16,H,26,G,108,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,3118//,,G,14,J,23,H,93,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,31181/,,G,14,J,23,H,93,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,311811,,G,14,J,23,H,93,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,44----,,G,202,H,714,H,2929,37,25,6,5,N,N,N,N,N,N,N,N,N,N,6,1
72,1,444///,,G,40,G,148,H,595,8,6,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,4441//,,H,39,H,145,H,580,7,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,44413/,,H,34,G,128,H,531,5,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,444130,,H,34,G,128,H,531,5,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,445///,,H,65,J,234,J,909,7,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,4451//,A,S,0,S,0,S,0,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,44511/,A,S,0,S,0,S,0,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,445110,A,S,0,S,0,S,0,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,446///,,H,33,G,143,G,638,5,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,4461//,,H,33,G,143,G,638,5,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,44611/,,H,33,G,143,G,638,5,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,446110,,H,33,G,143,G,638,5,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,447///,,G,12,G,32,G,127,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,4471//,,G,12,G,32,G,127,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,448///,,J,15,H,44,G,188,4,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,48----,,H,23,G,52,H,164,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,485///,,H,22,H,50,H,155,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,4854//,,H,22,H,50,H,155,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,48541/,,H,22,H,50,H,155,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,485410,,H,22,H,50,H,155,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,53----,,G,16,G,60,G,251,4,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,531///,,G,15,G,58,G,244,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,54----,,J,25,G,129,G,462,11,8,3,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,541///,,J,25,G,129,G,462,11,8,3,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,5411//,,G,7,G,17,G,63,5,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,54111/,,G,3,G,8,J,26,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,541110,,G,3,G,8,J,26,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,5413//,,J,14,G,96,G,332,3,N,3,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,61----,,G,56,H,146,G,508,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,611///,,G,56,H,146,G,508,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,6111//,,G,56,H,146,G,508,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,61111/,,G,56,H,146,G,508,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,611110,,G,56,H,146,G,508,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,62----,,G,188,G,885,G,3892,20,9,6,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,621///,,G,159,G,775,H,3431,16,8,5,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,6211//,,J,25,J,72,J,246,7,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,62111/,,J,25,J,72,J,246,7,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,621111,,J,25,J,72,J,246,7,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,6215//,,J,16,G,87,G,328,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,62151/,,J,16,G,87,G,328,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,624///,,J,18,J,75,J,309,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,72----,,G,102,G,239,G,910,20,10,8,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,722///,,H,96,G,219,G,826,18,8,8,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,7225//,,H,95,G,216,G,790,16,6,8,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,72251/,,H,95,G,216,G,790,16,6,8,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,722511,,H,23,G,61,G,179,4,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,722513,,H,68,G,146,G,586,10,3,6,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,81----,,H,29,H,259,H,858,9,7,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,813///,,J,28,H,254,H,841,8,6,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,8131//,,J,14,J,32,G,136,6,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,81311/,,J,14,J,32,G,136,6,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,813110,,J,14,J,32,G,136,6,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,3,------,,G,2721,G,9389,G,37056,467,332,73,40,16,4,N,N,N,N,N,N,N,N,6,3
72,3,23----,,H,241,H,921,G,3964,31,24,N,3,N,N,N,N,N,N,N,N,N,N,6,3
72,3,236///,,G,205,G,785,G,3413,22,17,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,2361//,,G,202,G,781,G,3339,17,12,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,23611/,,G,202,G,781,G,3339,17,12,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,236115,,J,131,J,472,J,2057,9,7,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,236118,,J,71,J,309,J,1282,8,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,2362//,,G,3,J,4,H,74,5,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,23622/,,G,3,J,4,H,74,5,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,236220,,G,3,J,4,H,74,5,5,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,238///,,J,17,J,42,H,139,7,6,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,2383//,,J,15,J,33,H,125,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,31----,,G,157,G,622,G,2481,30,19,7,3,N,N,N,N,N,N,N,N,N,N,6,3
72,3,311///,,J,74,J,246,J,1040,13,10,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,3118//,,J,74,J,246,J,1040,13,10,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,31181/,,J,74,J,246,J,1040,13,10,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,311811,,G,35,G,87,G,345,10,8,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,311812,A,S,0,S,0,S,0,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,332///,A,S,0,S,0,S,0,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,337///,,G,12,H,40,G,110,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,3371//,,G,12,H,40,G,110,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,33711/,,G,12,H,40,G,110,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,337110,,G,12,H,40,G,110,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,42----,,J,60,H,238,H,1012,13,9,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,423///,,J,43,J,174,J,749,6,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4237//,,J,8,J,22,J,105,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,424///,,G,17,H,64,H,263,7,6,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4249//,,G,3,J,10,H,45,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44----,,G,899,G,3031,G,11819,142,96,24,15,4,3,N,N,N,N,N,N,N,N,6,3
72,3,441///,,H,111,H,391,G,1497,33,27,4,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4411//,,G,28,H,124,G,503,15,14,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44111/,,G,9,H,53,H,210,4,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,441110,,G,9,H,53,H,210,4,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44112/,,G,19,G,71,G,293,11,10,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,441120,,G,19,G,71,G,293,11,10,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4413//,,H,81,H,257,G,966,17,12,3,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44131/,,G,46,G,155,G,548,12,10,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,441310,,G,46,G,155,G,548,12,10,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44132/,,J,35,J,102,J,418,5,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,441320,,J,35,J,102,J,418,5,N,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,444///,,G,76,G,251,G,1040,18,14,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,4441//,,G,76,G,251,G,1040,18,14,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44413/,,H,61,G,215,G,893,11,8,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,444130,,H,61,G,215,G,893,11,8,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,44419/,,G,9,H,24,G,96,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,444190,,G,9,H,24,G,96,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,3
72,3,445///,,G,307,G,849,G,3237,17,11,N,N,N,3,N,N,N,N,N,N,N,N,6,3
72,3,4451//,,G,287,G,820,G,3123,11,6,N,N,N,3,N,N,N,N,N,N,N,N,6,3
