st,cty,sic,empflag,emp,ap,est,s1_4,s5_9,s10_19,s20_49,s50_99,s100_249,s250_499,s500_999,gt1000
72,1,----,,872,8871,140,102,22,9,6,0,1,0,0,0
72,1,15--,,23,366,5,2,3,0,0,0,0,0,0,0
72,1,1500,A,0,0,3,2,1,0,0,0,0,0,0,0
72,1,1510,A,0,0,3,2,1,0,0,0,0,0,0,0
72,1,1600,A,0,0,1,0,1,0,0,0,0,0,0,0
72,1,1620,A,0,0,1,0,1,0,0,0,0,0,0,0
72,1,1700,A,0,0,1,0,1,0,0,0,0,0,0,0
72,1,1750,A,0,0,1,0,1,0,0,0,0,0,0,0
72,1,1751,A,0,0,1,0,1,0,0,0,0,0,0,0
72,1,20--,,328,3111,11,6,0,3,1,0,1,0,0,0
72,1,2000,,40,526,5,3,0,2,0,0,0,0,0,0
72,1,2030,B,0,0,4,2,0,2,0,0,0,0,0,0
72,1,2033,A,0,0,3,2,0,1,0,0,0,0,0,0
72,1,2035,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,2050,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,2051,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,2300,C,0,0,1,0,0,0,0,0,1,0,0,0
72,1,2320,C,0,0,1,0,0,0,0,0,1,0,0,0
72,1,2325,C,0,0,1,0,0,0,0,0,1,0,0,0
72,1,2400,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,2430,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,2434,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3200,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,3270,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,3272,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,3400,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3490,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3499,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3500,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3550,A,0,0,1,1,0,0,0,0,0,0,0,0
