MUNICIPIO,CTY,INDUSTRIA,NAICS,UNIDADES,EMPLEO PROMEDIO,SALARIO Total Municipio Tercer Trimestre 2022,Promedio
Adjuntas,1,Total Municipio Primer Trimestre 2023 ,10,238,1834,9407625,5130
Adjuntas,1,"Agricultura, Bosque, Pesca y Caza        ",11,73,227,548496,2416
Adjuntas,1,Mineria                                  ,21,1,*,*,*
Adjuntas,1,"Electricidad, Agua y Gas                 ",22,1,*,*,*
Adjuntas,1,Construcción                             ,23,13,63,262194,4162
Adjuntas,1,Manufactura                              ,31-33,13,170,567669,3339
Adjuntas,1,Alimentos                                ,311,8,48,117500,2448
Adjuntas,1,Productos de Tabaco y Bebidas            ,312,1,*,*,*
Adjuntas,1,Textiles                                 ,313,0,0,0,0
Adjuntas,1,Productos Textiles Excepto Ropa          ,314,0,0,0,0
Adjuntas,1,Ropa                                     ,315,1,*,*,*
Adjuntas,1,Cuero y Productos Relacionados           ,316,0,0,0,0
Adjuntas,1,Productos de Madera                      ,321,0,0,0,0
Adjuntas,1,Papel                                    ,322,0,0,0,0
Adjuntas,1,Imprenta e Industrias Relacionadas       ,323,0,0,0,0
Adjuntas,1,Productos de Petróleo y Carbón           ,324,0,0,0,0
Adjuntas,1,Productos Químicos                       ,325,0,0,0,0
Adjuntas,1,Productos de Goma y Plásticos            ,326,0,0,0,0
Adjuntas,1,Productos Minerales no Metálicos         ,327,0,0,0,0
Adjuntas,1,Industrias de Materiales Primarios       ,331,0,0,0,0
Adjuntas,1,Productos de Metal                       ,332,3,16,48625,3039
Adjuntas,1,Maquinaria                               ,333,0,0,0,0
Adjuntas,1,Computadora y Productos Electrónicos    ,334,0,0,0,0
Adjuntas,1,Equipo y Aparatos Eléctricos             ,335,0,0,0,0
Adjuntas,1,Equipo de Transportación                 ,336,0,0,0,0
Adjuntas,1,Muebles y Productos Relacionados         ,337,0,0,0,0
Adjuntas,1,Industrias Manufactureras Misceláneas    ,339,0,0,0,0
Adjuntas,1,Comercio al por Mayor                    ,42,3,10,52725,5273
Adjuntas,1,Comercio al Detal                        ,44-45,44,243,1003127,4128
Adjuntas,1,Transportación y Almacenamiento           ,48-49,7,28,197610,7058
Adjuntas,1,Información                              ,51,1,*,*,*
Adjuntas,1,Finanzas y Seguros                       ,52,2,*,*,*
Adjuntas,1,"Bienes Raíces, Renta o Arrendamiento     ",53,2,*,*,*
Adjuntas,1,Servicios Profesionales y Técnicos       ,54,10,21,142918,6806
Adjuntas,1,Gerencia de Companías y Empresas         ,55,0,0,0,0
Adjuntas,1,Servicios Adm. y Desperdicios Sólidos    ,56,3,*,*,*
Adjuntas,1,Servicios Educativos                     ,61,2,268,2125755,7932
Adjuntas,1,Servicios de Salud y Asistencia Social   ,62,24,192,1304167,6793
Adjuntas,1,"Arte, Entretenimiento y Recreación       ",71,0,0,0,0
Adjuntas,1,Alojamiento y Servicios de Alimentos     ,72,23,118,342159,2900
Adjuntas,1,Otros Servicios Excepto Adm. Pública     ,81,7,14,49654,3547
Adjuntas,1,Administración Pública                   ,92,9,358,1784754,4985
Adjuntas,1,Otros (Establecimientos no Clasificados) ,99,0,0,0,0
Aguada,3,Total Municipio Primer Trimestre 2023 ,10,605,4731,27119312,5732
Aguada,3,"Agricultura, Bosque, Pesca y Caza        ",11,17,34,126363,3717
Aguada,3,Mineria                                  ,21,2,*,*,*
Aguada,3,"Electricidad, Agua y Gas                 ",22,1,*,*,*
Aguada,3,Construcción                             ,23,44,299,1547979,5177
Aguada,3,Manufactura                              ,31-33,32,220,855242,3887
Aguada,3,Alimentos                                ,311,15,110,391318,3557
Aguada,3,Productos de Tabaco y Bebidas            ,312,1,*,*,*
Aguada,3,Textiles                                 ,313,0,0,0,0
Aguada,3,Productos Textiles Excepto Ropa          ,314,0,0,0,0
Aguada,3,Ropa                                     ,315,1,*,*,*
Aguada,3,Cuero y Productos Relacionados           ,316,0,0,0,0
Aguada,3,Productos de Madera                      ,321,0,0,0,0
Aguada,3,Papel                                    ,322,0,0,0,0
Aguada,3,Imprenta e Industrias Relacionadas       ,323,2,*,*,*
Aguada,3,Productos de Petróleo y Carbón           ,324,0,0,0,0
Aguada,3,Productos Químicos                       ,325,0,0,0,0
Aguada,3,Productos de Goma y Plásticos            ,326,0,0,0,0
Aguada,3,Productos Minerales no Metálicos         ,327,3,45,186904,4153
Aguada,3,Industrias de Materiales Primarios       ,331,1,*,*,*
Aguada,3,Productos de Metal                       ,332,4,*,*,*
Aguada,3,Maquinaria                               ,333,0,0,0,0
Aguada,3,Computadora y Productos Electrónicos    ,334,0,0,0,0
Aguada,3,Equipo y Aparatos Eléctricos             ,335,0,0,0,0
Aguada,3,Equipo de Transportación                 ,336,0,0,0,0
Aguada,3,Muebles y Productos Relacionados         ,337,4,10,33717,3372
Aguada,3,Industrias Manufactureras Misceláneas    ,339,1,*,*,*
Aguada,3,Comercio al por Mayor                    ,42,15,49,233967,4775
Aguada,3,Comercio al Detal                        ,44-45,166,1115,5286722,4741
Aguada,3,Transportación y Almacenamiento           ,48-49,9,62,475937,7676
Aguada,3,Información                              ,51,4,4,39307,9827
Aguada,3,Finanzas y Seguros                       ,52,13,55,380260,6914
Aguada,3,"Bienes Raíces, Renta o Arrendamiento     ",53,10,52,195464,3759
Aguada,3,Servicios Profesionales y Técnicos       ,54,41,151,1230724,8150
Aguada,3,Gerencia de Companías y Empresas         ,55,0,0,0,0
Aguada,3,Servicios Adm. y Desperdicios Sólidos    ,56,20,254,1279969,5039
Aguada,3,Servicios Educativos                     ,61,8,672,5337779,7943
Aguada,3,Servicios de Salud y Asistencia Social   ,62,85,364,2201515,6048
Aguada,3,"Arte, Entretenimiento y Recreación       ",71,3,*,*,*
Aguada,3,Alojamiento y Servicios de Alimentos     ,72,86,645,2000704,3102
Aguada,3,Otros Servicios Excepto Adm. Pública     ,81,38,115,552401,4803
Aguada,3,Administración Pública                   ,92,11,583,5172630,8872
Aguada,3,Otros (Establecimientos no Clasificados) ,99,0,0,0,0
Aguadilla,5,Total Municipio Primer Trimestre 2023 ,10,1011,18865,170158241,9020
