MUNICIPIO,CTY,INDUSTRIA,NAICS,UNIDADES, EMPLEO PROMEDIO , SALRIO Total Municipio Primer Trimestre 2021 , Promedio 
Adjuntas,1,Total Municipio Primer Trimestre 2021 ,,221," 1,687 "," 7,364,233 "," 4,366 "
Adjuntas,1,"Agricultura, Bosque, Pesca y Caza        ",11,78, 215 ," 353,082 "," 1,645 "
Adjuntas,1,Mineria                                  ,21,1, * , * , * 
Adjuntas,1,"Electricidad, Agua y Gas                 ",22,1, * , * , * 
Adjuntas,1,Construcción                             ,23,7, 14 ," 57,771 "," 4,031 "
Adjuntas,1,Manufactura                              ,31-33,13, 196 ," 503,201 "," 2,567 "
Adjuntas,1,Alimentos                                ,311,8, 40 ," 81,821 "," 2,046 "
Adjuntas,1,Productos de Tabaco y Bebidas            ,312,1, * , * , * 
Adjuntas,1,Textiles                                 ,313,0, -   , -   , -   
Adjuntas,1,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Adjuntas,1,Ropa                                     ,315,1, * , * , * 
Adjuntas,1,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Adjuntas,1,Productos de Madera                      ,321,0, -   , -   , -   
Adjuntas,1,Papel                                    ,322,0, -   , -   , -   
Adjuntas,1,Imprenta e Industrias Relacionadas       ,323,0, -   , -   , -   
Adjuntas,1,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Adjuntas,1,Productos Químicos                       ,325,0, -   , -   , -   
Adjuntas,1,Productos de Goma y Plásticos            ,326,0, -   , -   , -   
Adjuntas,1,Productos Minerales no Metálicos         ,327,0, -   , -   , -   
Adjuntas,1,Industrias de Materiales Primarios       ,331,0, -   , -   , -   
Adjuntas,1,Productos de Metal                       ,332,3, 13 ," 32,997 "," 2,538 "
Adjuntas,1,Maquinaria                               ,333,0, -   , -   , -   
Adjuntas,1,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Adjuntas,1,Equipo y Aparatos Eléctricos             ,335,0, -   , -   , -   
Adjuntas,1,Equipo de Transportación                 ,336,0, -   , -   , -   
Adjuntas,1,Muebles y Productos Relacionados         ,337,0, -   , -   , -   
Adjuntas,1,Industrias Manufactureras Misceláneas    ,339,0, -   , -   , -   
Adjuntas,1,Comercio al por Mayor                    ,42,4, 19 ," 105,525 "," 5,554 "
Adjuntas,1,Comercio al Detal                        ,44-45,43, 286 ," 1,007,722 "," 3,528 "
Adjuntas,1,Transportación y Almacenamiento           ,48-49,4, 12 ," 128,723 "," 10,727 "
Adjuntas,1,Información                              ,51,0, -   , -   , -   
Adjuntas,1,Finanzas y Seguros                       ,52,2, * , * , * 
Adjuntas,1,"Bienes Raíces, Renta o Arrendamiento     ",53,1, * , * , * 
Adjuntas,1,Servicios Profesionales y Técnicos       ,54,7, 23 ," 145,110 "," 6,219 "
Adjuntas,1,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Adjuntas,1,Servicios Adm. y Desperdicios Sólidos    ,56,2, * , * , * 
